Image,Match_Type,AI_Index,GT_Index,IoU,GT_Area_px,AI_Area_px,GT_Area_um2,AI_Area_um2
ROSILHA-M-G_005_jpg.rf.afae2fb85329c0fe56679d51ca1c64fd.jpg,TP,1,1,0.9587111843913163,14291,14220,6891.878858024691,6857.638888888889
ROSILHA-M-G_005_jpg.rf.afae2fb85329c0fe56679d51ca1c64fd.jpg,TP,5,11,0.9514045782002643,23056,22722,11118.827160493827,10957.75462962963
ROSILHA-M-G_005_jpg.rf.afae2fb85329c0fe56679d51ca1c64fd.jpg,TP,4,10,0.9465508162190627,7305,7481,3522.858796296296,3607.7353395061727
ROSILHA-M-G_005_jpg.rf.afae2fb85329c0fe56679d51ca1c64fd.jpg,TP,12,4,0.9430424209673062,36652,35260,17675.54012345679,17004.24382716049
ROSILHA-M-G_005_jpg.rf.afae2fb85329c0fe56679d51ca1c64fd.jpg,TP,0,2,0.9252022591970691,6501,6111,3135.127314814815,2947.048611111111
ROSILHA-M-G_005_jpg.rf.afae2fb85329c0fe56679d51ca1c64fd.jpg,TP,6,9,0.9139196417464859,8005,7381,3860.4359567901233,3559.5100308641972
ROSILHA-M-G_005_jpg.rf.afae2fb85329c0fe56679d51ca1c64fd.jpg,TP,2,0,0.9108635097493036,718,654,346.2577160493827,315.3935185185185
ROSILHA-M-G_005_jpg.rf.afae2fb85329c0fe56679d51ca1c64fd.jpg,TP,8,3,0.764102564102564,194,150,93.55709876543209,72.33796296296296
ROSILHA-M-G_005_jpg.rf.afae2fb85329c0fe56679d51ca1c64fd.jpg,TP,3,6,0.7315523321578282,22146,29901,10679.976851851852,14419.849537037036
ROSILHA-M-G_005_jpg.rf.afae2fb85329c0fe56679d51ca1c64fd.jpg,TP,10,8,0.5139299928564139,14572,15098,7027.391975308642,7281.057098765432
ROSILHA-M-G_005_jpg.rf.afae2fb85329c0fe56679d51ca1c64fd.jpg,FP,7,-1,0.0,0,71,0.0,34.23996913580247
ROSILHA-M-G_005_jpg.rf.afae2fb85329c0fe56679d51ca1c64fd.jpg,FP,9,-1,0.0,0,161,0.0,77.64274691358024
ROSILHA-M-G_005_jpg.rf.afae2fb85329c0fe56679d51ca1c64fd.jpg,FP,11,-1,0.0,0,39766,0.0,19177.2762345679
ROSILHA-M-G_005_jpg.rf.afae2fb85329c0fe56679d51ca1c64fd.jpg,FN,-1,5,0.0,14099,0,6799.286265432099,0.0
ROSILHA-M-G_005_jpg.rf.afae2fb85329c0fe56679d51ca1c64fd.jpg,FN,-1,7,0.0,5044,0,2432.4845679012346,0.0
ROSILHA-M-G_005_jpg.rf.afae2fb85329c0fe56679d51ca1c64fd.jpg,FN,-1,12,0.0,6834,0,3295.7175925925926,0.0
ZAZA-G_010_jpg.rf.cd14098445a0a54c10014aaa7d8f975c.jpg,TP,24,25,0.9710648148148148,3423,3389,1650.7523148148148,1634.3557098765432
ZAZA-G_010_jpg.rf.cd14098445a0a54c10014aaa7d8f975c.jpg,TP,6,5,0.9650524809160306,8319,8156,4011.8634259259256,3933.256172839506
ZAZA-G_010_jpg.rf.cd14098445a0a54c10014aaa7d8f975c.jpg,TP,25,26,0.9642857142857143,2070,2055,998.2638888888888,991.0300925925925
ZAZA-G_010_jpg.rf.cd14098445a0a54c10014aaa7d8f975c.jpg,TP,11,8,0.9602593947455936,11902,11676,5739.776234567901,5630.7870370370365
ZAZA-G_010_jpg.rf.cd14098445a0a54c10014aaa7d8f975c.jpg,TP,7,9,0.9566435432230523,7426,7241,3581.2114197530864,3491.994598765432
ZAZA-G_010_jpg.rf.cd14098445a0a54c10014aaa7d8f975c.jpg,TP,8,3,0.9532322137955941,5429,5388,2618.1520061728393,2598.3796296296296
ZAZA-G_010_jpg.rf.cd14098445a0a54c10014aaa7d8f975c.jpg,TP,21,28,0.9504775380261762,2808,2706,1354.1666666666665,1304.9768518518517
ZAZA-G_010_jpg.rf.cd14098445a0a54c10014aaa7d8f975c.jpg,TP,4,11,0.9502341920374707,5116,4877,2467.206790123457,2351.948302469136
ZAZA-G_010_jpg.rf.cd14098445a0a54c10014aaa7d8f975c.jpg,TP,12,23,0.9466037735849057,5252,5065,2532.793209876543,2442.6118827160494
ZAZA-G_010_jpg.rf.cd14098445a0a54c10014aaa7d8f975c.jpg,TP,10,24,0.9458559663571053,5704,5401,2750.7716049382716,2604.6489197530864
ZAZA-G_010_jpg.rf.cd14098445a0a54c10014aaa7d8f975c.jpg,TP,5,15,0.9407230196703881,3742,3559,1804.591049382716,1716.3387345679012
ZAZA-G_010_jpg.rf.cd14098445a0a54c10014aaa7d8f975c.jpg,TP,19,7,0.9372026641294006,4196,3948,2023.5339506172838,1903.935185185185
ZAZA-G_010_jpg.rf.cd14098445a0a54c10014aaa7d8f975c.jpg,TP,13,2,0.9329446064139941,3728,3565,1797.8395061728395,1719.2322530864196
ZAZA-G_010_jpg.rf.cd14098445a0a54c10014aaa7d8f975c.jpg,TP,2,10,0.9317956349206349,4020,3769,1938.6574074074074,1817.6118827160492
ZAZA-G_010_jpg.rf.cd14098445a0a54c10014aaa7d8f975c.jpg,TP,20,27,0.9302127659574468,2339,2197,1127.9899691358023,1059.5100308641975
