Image,Match_Type,AI_Index,GT_Index,IoU,GT_Area_px,AI_Area_px,GT_Area_um2,AI_Area_um2,Conf,Run
ROSILHA-M-G_005_jpg.rf.afae2fb85329c0fe56679d51ca1c64fd.jpg,TP,1,1,0.960085,14291,14191,6891.8789,6843.6535,0.46,seg_small_optA_r560_acc16_lr1e4
ROSILHA-M-G_005_jpg.rf.afae2fb85329c0fe56679d51ca1c64fd.jpg,TP,3,11,0.951281,23056,22723,11118.8272,10958.2369,0.46,seg_small_optA_r560_acc16_lr1e4
ROSILHA-M-G_005_jpg.rf.afae2fb85329c0fe56679d51ca1c64fd.jpg,TP,5,10,0.946523,7305,7473,3522.8588,3603.8773,0.46,seg_small_optA_r560_acc16_lr1e4
ROSILHA-M-G_005_jpg.rf.afae2fb85329c0fe56679d51ca1c64fd.jpg,TP,11,4,0.940937,36652,35677,17675.5401,17205.3434,0.46,seg_small_optA_r560_acc16_lr1e4
ROSILHA-M-G_005_jpg.rf.afae2fb85329c0fe56679d51ca1c64fd.jpg,TP,0,2,0.924238,6501,6122,3135.1273,2952.3534,0.46,seg_small_optA_r560_acc16_lr1e4
ROSILHA-M-G_005_jpg.rf.afae2fb85329c0fe56679d51ca1c64fd.jpg,TP,2,0,0.917942,718,661,346.2577,318.7693,0.46,seg_small_optA_r560_acc16_lr1e4
ROSILHA-M-G_005_jpg.rf.afae2fb85329c0fe56679d51ca1c64fd.jpg,TP,6,9,0.913941,8005,7385,3860.436,3561.439,0.46,seg_small_optA_r560_acc16_lr1e4
ROSILHA-M-G_005_jpg.rf.afae2fb85329c0fe56679d51ca1c64fd.jpg,TP,9,5,0.836663,14099,12382,6799.2863,5971.2577,0.46,seg_small_optA_r560_acc16_lr1e4
ROSILHA-M-G_005_jpg.rf.afae2fb85329c0fe56679d51ca1c64fd.jpg,TP,7,3,0.758974,194,149,93.5571,71.8557,0.46,seg_small_optA_r560_acc16_lr1e4
ROSILHA-M-G_005_jpg.rf.afae2fb85329c0fe56679d51ca1c64fd.jpg,TP,4,6,0.730904,22146,29904,10679.9769,14421.2963,0.46,seg_small_optA_r560_acc16_lr1e4
ROSILHA-M-G_005_jpg.rf.afae2fb85329c0fe56679d51ca1c64fd.jpg,TP,12,8,0.515085,14572,15107,7027.392,7285.3974,0.46,seg_small_optA_r560_acc16_lr1e4
ROSILHA-M-G_005_jpg.rf.afae2fb85329c0fe56679d51ca1c64fd.jpg,FP,8,-1,0.0,0,69,0.0,33.2755,0.46,seg_small_optA_r560_acc16_lr1e4
ROSILHA-M-G_005_jpg.rf.afae2fb85329c0fe56679d51ca1c64fd.jpg,FP,10,-1,0.0,0,159,0.0,76.6782,0.46,seg_small_optA_r560_acc16_lr1e4
ROSILHA-M-G_005_jpg.rf.afae2fb85329c0fe56679d51ca1c64fd.jpg,FP,13,-1,0.0,0,41740,0.0,20129.2438,0.46,seg_small_optA_r560_acc16_lr1e4
ROSILHA-M-G_005_jpg.rf.afae2fb85329c0fe56679d51ca1c64fd.jpg,FN,-1,7,0.0,5044,0,2432.4846,0.0,0.46,seg_small_optA_r560_acc16_lr1e4
ROSILHA-M-G_005_jpg.rf.afae2fb85329c0fe56679d51ca1c64fd.jpg,FN,-1,12,0.0,6834,0,3295.7176,0.0,0.46,seg_small_optA_r560_acc16_lr1e4
ZAZA-G_010_jpg.rf.cd14098445a0a54c10014aaa7d8f975c.jpg,TP,24,25,0.968524,3423,3394,1650.7523,1636.767,0.46,seg_small_optA_r560_acc16_lr1e4
ZAZA-G_010_jpg.rf.cd14098445a0a54c10014aaa7d8f975c.jpg,TP,6,5,0.96389,8319,8160,4011.8634,3935.1852,0.46,seg_small_optA_r560_acc16_lr1e4
ZAZA-G_010_jpg.rf.cd14098445a0a54c10014aaa7d8f975c.jpg,TP,25,26,0.962928,2070,2060,998.2639,993.4414,0.46,seg_small_optA_r560_acc16_lr1e4
ZAZA-G_010_jpg.rf.cd14098445a0a54c10014aaa7d8f975c.jpg,TP,12,8,0.959275,11902,11672,5739.7762,5628.858,0.46,seg_small_optA_r560_acc16_lr1e4
ZAZA-G_010_jpg.rf.cd14098445a0a54c10014aaa7d8f975c.jpg,TP,7,9,0.95651,7426,7240,3581.2114,3491.5123,0.46,seg_small_optA_r560_acc16_lr1e4
ZAZA-G_010_jpg.rf.cd14098445a0a54c10014aaa7d8f975c.jpg,TP,8,3,0.952716,5429,5391,2618.152,2599.8264,0.46,seg_small_optA_r560_acc16_lr1e4
ZAZA-G_010_jpg.rf.cd14098445a0a54c10014aaa7d8f975c.jpg,TP,20,28,0.951202,2808,2710,1354.1667,1306.9059,0.46,seg_small_optA_r560_acc16_lr1e4
ZAZA-G_010_jpg.rf.cd14098445a0a54c10014aaa7d8f975c.jpg,TP,3,11,0.95042,5116,4876,2467.2068,2351.466,0.46,seg_small_optA_r560_acc16_lr1e4
ZAZA-G_010_jpg.rf.cd14098445a0a54c10014aaa7d8f975c.jpg,TP,11,23,0.947795,5252,5083,2532.7932,2451.2924,0.46,seg_small_optA_r560_acc16_lr1e4
ZAZA-G_010_jpg.rf.cd14098445a0a54c10014aaa7d8f975c.jpg,TP,10,24,0.946041,5704,5404,2750.7716,2606.0957,0.46,seg_small_optA_r560_acc16_lr1e4
ZAZA-G_010_jpg.rf.cd14098445a0a54c10014aaa7d8f975c.jpg,TP,5,15,0.940786,3742,3567,1804.591,1720.1968,0.46,seg_small_optA_r560_acc16_lr1e4
ZAZA-G_010_jpg.rf.cd14098445a0a54c10014aaa7d8f975c.jpg,TP,18,7,0.937218,4196,3950,2023.534,1904.8997,0.46,seg_small_optA_r560_acc16_lr1e4
ZAZA-G_010_jpg.rf.cd14098445a0a54c10014aaa7d8f975c.jpg,TP,2,10,0.932821,4020,3777,1938.6574,1821.4699,0.46,seg_small_optA_r560_acc16_lr1e4
ZAZA-G_010_jpg.rf.cd14098445a0a54c10014aaa7d8f975c.jpg,TP,14,2,0.932468,3728,3569,1797.8395,1721.1613,0.46,seg_small_optA_r560_acc16_lr1e4
ZAZA-G_010_jpg.rf.cd14098445a0a54c10014aaa7d8f975c.jpg,TP,19,27,0.930272,2339,2201,1127.99,1061.439,0.46,seg_small_optA_r560_acc16_lr1e4
ZAZA-G_010_jpg.rf.cd14098445a0a54c10014aaa7d8f975c.jpg,TP,13,13,0.927482,4747,4476,2289.2554,2158.5648,0.46,seg_small_optA_r560_acc16_lr1e4
ZAZA-G_010_jpg.rf.cd14098445a0a54c10014aaa7d8f975c.jpg,TP,21,16,0.925107,1629,1507,785.5903,726.7554,0.46,seg_small_optA_r560_acc16_lr1e4
ZAZA-G_010_jpg.rf.cd14098445a0a54c10014aaa7d8f975c.jpg,TP,17,14,0.91556,4590,4212,2213.5417,2031.25,0.46,seg_small_optA_r560_acc16_lr1e4
ZAZA-G_010_jpg.rf.cd14098445a0a54c10014aaa7d8f975c.jpg,TP,1,0,0.905512,3302,2990,1592.3997,1441.9367,0.46,seg_small_optA_r560_acc16_lr1e4
ZAZA-G_010_jpg.rf.cd14098445a0a54c10014aaa7d8f975c.jpg,TP,0,12,0.90346,6474,5849,3122.1065,2820.6983,0.46,seg_small_optA_r560_acc16_lr1e4
ZAZA-G_010_jpg.rf.cd14098445a0a54c10014aaa7d8f975c.jpg,TP,4,1,0.902301,5623,5125,2711.7091,2471.5471,0.46,seg_small_optA_r560_acc16_lr1e4
ZAZA-G_010_jpg.rf.cd14098445a0a54c10014aaa7d8f975c.jpg,TP,16,21,0.897566,1964,1778,947.1451,857.446,0.46,seg_small_optA_r560_acc16_lr1e4
ZAZA-G_010_jpg.rf.cd14098445a0a54c10014aaa7d8f975c.jpg,TP,15,6,0.895459,4175,3839,2013.4066,1851.3696,0.46,seg_small_optA_r560_acc16_lr1e4
