Image,GT_Count,AI_Count,Matched_Count,FP_Count,FN_Count,GT_Area_px,AI_Area_px,GT_Area_um2,AI_Area_um2,Conf,Run
ROSILHA-M-G_005_jpg.rf.afae2fb85329c0fe56679d51ca1c64fd.jpg,13,13,11,2,2,159536,164721,76936.7284,79437.2106,0.44,seg_large_r672_auto
ZAZA-G_010_jpg.rf.cd14098445a0a54c10014aaa7d8f975c.jpg,29,26,26,0,3,115768,109217,55829.4753,52670.2353,0.44,seg_large_r672_auto
ZAINA-679-B_010_jpg.rf.4a3c6644c7fdcdc349eacebe9a97fbd7.jpg,38,46,36,10,2,191788,196516,92490.3549,94770.4475,0.44,seg_large_r672_auto
TP-B_001_jpg.rf.476ac40460a2659ffbad7973abf99d86.jpg,31,31,30,1,1,138967,125517,67017.2647,60530.9606,0.44,seg_large_r672_auto
ROSILHA-M-G_017_jpg.rf.85fc7b8a7b63a2cbb64907a1c82d5d51.jpg,17,18,17,1,0,60690,58265,29267.9398,28098.4761,0.44,seg_large_r672_auto
TORDILHA-B_009_jpg.rf.5902113a7929ec9592dc2b09471de461.jpg,48,50,44,6,4,103403,102668,49866.4159,49511.9599,0.44,seg_large_r672_auto
ROSILHA-M-D_009_jpg.rf.b52035c8fe5fd87e1eed76dc4bbe6a14.jpg,26,28,26,2,0,199555,207363,96236.0147,100001.4468,0.44,seg_large_r672_auto
TORDILHA-D_006_jpg.rf.d879d44ef1add0b327aa39f6650afc47.jpg,35,34,27,7,8,221325,176603,106734.6644,85167.3418,0.44,seg_large_r672_auto
ZAINA-679-B_011_jpg.rf.27d46a055eff6f5810ec4c5c9429b994.jpg,24,25,23,2,1,225942,233968,108961.2269,112831.7901,0.44,seg_large_r672_auto
ZAZA-B_008_jpg.rf.92ad451b5359143319a46e599a0239d1.jpg,28,29,25,4,3,197532,222738,95260.4167,107416.088,0.44,seg_large_r672_auto
ROSILHA-M-G_001_jpg.rf.3dab74a9f6c203f6aca8afc07a353bd2.jpg,18,20,18,2,0,66161,62891,31906.3465,30329.3789,0.44,seg_large_r672_auto
TORDILHA-B_010_jpg.rf.698124083a3806b10e86f6304c2b5ce1.jpg,31,34,30,4,1,144326,157769,69601.659,76084.5872,0.44,seg_large_r672_auto
TOSTADA-G_011_jpg.rf.c0b219a9a6742c565eddfcdb51541b7d.jpg,30,32,29,3,1,167880,181672,80960.6481,87611.8827,0.44,seg_large_r672_auto
ROSILHA-M-B_003_jpg.rf.863a24cebe30a134937348de5cbcaa87.jpg,20,19,15,4,5,185177,218140,89302.1798,105198.6883,0.44,seg_large_r672_auto
ZAZA-G_012_jpg.rf.b65fca463e4411032a599acd7494f06d.jpg,35,34,32,2,3,156038,151999,75249.8071,73301.9869,0.44,seg_large_r672_auto
TORDILHA-G_009_jpg.rf.b279af9f6892d54790621c0f5458daf3.jpg,37,42,37,5,0,148737,158137,71728.8773,76262.0563,0.44,seg_large_r672_auto
TP-G_010_jpg.rf.5c8b394cdec2d68bae00b4eb6679ec08.jpg,37,36,33,3,4,144494,135066,69682.6775,65135.9954,0.44,seg_large_r672_auto
TOSTADA-B_006_jpg.rf.fd9a20fd791843647a700cdeb77e0cc3.jpg,24,26,21,5,3,120270,113568,58000.5787,54768.5185,0.44,seg_large_r672_auto
TP-D_010_jpg.rf.8e807d0647c50bd1b8d28134da2e26a4.jpg,47,45,42,3,5,119053,114766,57413.6767,55346.2577,0.44,seg_large_r672_auto
TP-G_008_jpg.rf.7ce2f84776589571f8d07c60f1c4e63c.jpg,33,27,27,0,6,137279,134188,66203.2215,64712.5772,0.44,seg_large_r672_auto
ZAZA-D_004_jpg.rf.02ed2d595bd7bc4d5f40bda7d3f8e5d2.jpg,35,35,32,3,3,160548,154149,77424.7685,74338.831,0.44,seg_large_r672_auto
ROSILHA-M-B_009_jpg.rf.d2aa8881a0b4f54b4bdb89392b953e71.jpg,44,41,38,3,6,175883,146939,84820.1196,70861.7863,0.44,seg_large_r672_auto
TORDILHA-B_012_jpg.rf.0b5caafb1952d960be9aa54f5506bf96.jpg,41,44,39,5,2,131258,135022,63299.5756,65114.7762,0.44,seg_large_r672_auto
ROSILHA-M-D_006_jpg.rf.de71085683e9c7eb460be0f184fb31ac.jpg,39,36,33,3,6,133535,145093,64397.6659,69971.5471,0.44,seg_large_r672_auto
TOSTADA-B_003_jpg.rf.ef070508fe8cf028db79cd03961c37d8.jpg,26,27,22,5,4,107678,105623,51928.0478,50937.0177,0.44,seg_large_r672_auto
TORDILHA-D_001_jpg.rf.36e39c15aad81283f9bcc0f8afcd649f.jpg,24,26,22,4,2,216590,188663,104451.196,90983.314,0.44,seg_large_r672_auto
TOSTADA-G_009_jpg.rf.506f019d1e54427e5f81510789439725.jpg,42,44,40,4,2,180447,179979,87021.1227,86795.4282,0.44,seg_large_r672_auto
