Image,Match_Type,AI_Index,GT_Index,IoU,GT_Area_px,AI_Area_px,GT_Area_um2,AI_Area_um2
ROSILHA-M-G_005_jpg.rf.afae2fb85329c0fe56679d51ca1c64fd.jpg,TP,1,1,0.9587111843913163,14291,14220,5153.9268,5128.3213
ROSILHA-M-G_005_jpg.rf.afae2fb85329c0fe56679d51ca1c64fd.jpg,TP,5,11,0.9514045782002643,23056,22722,8314.949,8194.4948
ROSILHA-M-G_005_jpg.rf.afae2fb85329c0fe56679d51ca1c64fd.jpg,TP,4,10,0.9465508162190627,7305,7481,2634.4857,2697.9586
ROSILHA-M-G_005_jpg.rf.afae2fb85329c0fe56679d51ca1c64fd.jpg,TP,12,4,0.9430424209673062,36652,35260,13218.23,12716.2171
ROSILHA-M-G_005_jpg.rf.afae2fb85329c0fe56679d51ca1c64fd.jpg,TP,0,2,0.9252022591970691,6501,6111,2344.53,2203.8798
ROSILHA-M-G_005_jpg.rf.afae2fb85329c0fe56679d51ca1c64fd.jpg,TP,6,9,0.9139196417464859,8005,7381,2886.9347,2661.8945
ROSILHA-M-G_005_jpg.rf.afae2fb85329c0fe56679d51ca1c64fd.jpg,TP,2,0,0.9108635097493036,718,654,258.9406,235.8595
ROSILHA-M-G_005_jpg.rf.afae2fb85329c0fe56679d51ca1c64fd.jpg,TP,8,3,0.764102564102564,194,150,69.9644,54.0962
ROSILHA-M-G_005_jpg.rf.afae2fb85329c0fe56679d51ca1c64fd.jpg,TP,3,6,0.7315523321578282,22146,29901,7986.7653,10783.5397
ROSILHA-M-G_005_jpg.rf.afae2fb85329c0fe56679d51ca1c64fd.jpg,TP,10,8,0.5139299928564139,14572,15098,5255.267,5444.9644
ROSILHA-M-G_005_jpg.rf.afae2fb85329c0fe56679d51ca1c64fd.jpg,FP,7,-1,0.0,0,71,0,25.6055
ROSILHA-M-G_005_jpg.rf.afae2fb85329c0fe56679d51ca1c64fd.jpg,FP,9,-1,0.0,0,161,0,58.0633
