Image,GT_Count,AI_Count,Matched,FP,FN,Count_Error,GT_Area_px,AI_Area_px,GT_Area_um2,AI_Area_um2,Area_Diff_pct,Pipeline_ms
ROSILHA-M-G_005_jpg.rf.afae2fb85329c0fe56679d51ca1c64fd.jpg,13,13,10,3,3,0,159417,178976,57492.3762,64546.1621,12.269080461933168,389.6930999999313
ZAZA-G_010_jpg.rf.cd14098445a0a54c10014aaa7d8f975c.jpg,29,27,27,0,2,-2,115646,109383,41706.7398,39448.0425,-5.415665046780693,1460.0870999993276
ZAINA-679-B_010_jpg.rf.4a3c6644c7fdcdc349eacebe9a97fbd7.jpg,38,40,33,7,5,2,191536,185308,69075.8186,66829.7437,-3.2516080527942526,2733.160400000088
TP-B_001_jpg.rf.476ac40460a2659ffbad7973abf99d86.jpg,31,30,29,1,2,-1,138802,148404,50057.753,53520.632,6.917767755507846,1965.4289000000063
ROSILHA-M-G_017_jpg.rf.85fc7b8a7b63a2cbb64907a1c82d5d51.jpg,17,18,17,1,0,1,60626,58527,21864.2479,21107.2615,-3.4622109326031736,814.0629999998055
TORDILHA-B_009_jpg.rf.5902113a7929ec9592dc2b09471de461.jpg,48,50,46,4,2,2,103220,109682,37225.4093,39555.8743,6.260414648323969,4376.72350000048
ROSILHA-M-D_009_jpg.rf.b52035c8fe5fd87e1eed76dc4bbe6a14.jpg,26,27,25,2,1,1,199369,190706,71900.723,68776.4862,-4.345209134820358,1513.0182000002605
TORDILHA-D_006_jpg.rf.d879d44ef1add0b327aa39f6650afc47.jpg,35,36,27,9,8,1,221012,188153,79706.0856,67855.7686,-14.867518505782492,2670.17610000039
ZAINA-679-B_011_jpg.rf.27d46a055eff6f5810ec4c5c9429b994.jpg,24,23,23,0,1,-1,225756,222789,81416.9686,80346.9455,-1.314250784032318,1238.6870999998791
ZAZA-B_008_jpg.rf.92ad451b5359143319a46e599a0239d1.jpg,28,27,23,4,5,-1,197356,195382,71174.7517,70462.8455,-1.000222947364154,1418.0561000002854
ROSILHA-M-G_001_jpg.rf.3dab74a9f6c203f6aca8afc07a353bd2.jpg,18,22,18,4,0,4,66098,70008,23837.6778,25247.7858,5.915458864110866,989.1155999994226
TORDILHA-B_010_jpg.rf.698124083a3806b10e86f6304c2b5ce1.jpg,31,33,30,3,1,2,144210,144677,52008.1019,52176.5214,0.32383329866167393,1874.0168000003905
TOSTADA-G_011_jpg.rf.c0b219a9a6742c565eddfcdb51541b7d.jpg,30,30,28,2,2,0,167675,160797,60470.5532,57990.0614,-4.101983002832861,1970.2186000004076
ROSILHA-M-B_003_jpg.rf.863a24cebe30a134937348de5cbcaa87.jpg,20,22,16,6,4,2,185017,192094,66724.797,69277.0565,3.8250539139646627,1059.239900000648
ZAZA-G_012_jpg.rf.b65fca463e4411032a599acd7494f06d.jpg,35,33,30,3,5,-2,155830,159234,56198.7554,57426.3788,2.1844317525508568,2101.5181000002485
TORDILHA-G_009_jpg.rf.b279af9f6892d54790621c0f5458daf3.jpg,37,35,33,2,4,-2,148555,145367,53575.0889,52425.364,-2.146006529568173,2581.8273999993835
TP-G_010_jpg.rf.5c8b394cdec2d68bae00b4eb6679ec08.jpg,37,34,32,2,5,-3,144333,122667,52052.4607,44238.8033,-15.01112011806032,2441.0871000000043
TOSTADA-B_006_jpg.rf.fd9a20fd791843647a700cdeb77e0cc3.jpg,24,23,19,4,5,-1,120160,90480,43334.6753,32630.8374,-24.70039946737683,1217.142899999999
TP-D_010_jpg.rf.8e807d0647c50bd1b8d28134da2e26a4.jpg,47,45,42,3,5,-2,118911,115426,42884.2341,41627.3987,-2.93076334401359,3743.26740000015
TP-G_008_jpg.rf.7ce2f84776589571f8d07c60f1c4e63c.jpg,33,27,27,0,6,-6,137098,134984,49443.2199,48680.8239,-1.5419626836277698,1941.7576999994708
ZAZA-D_004_jpg.rf.02ed2d595bd7bc4d5f40bda7d3f8e5d2.jpg,35,33,32,1,3,-2,160285,150569,57805.413,54301.4208,-6.061702592257541,2321.3128999996115
ROSILHA-M-B_009_jpg.rf.d2aa8881a0b4f54b4bdb89392b953e71.jpg,44,42,40,2,4,-2,175663,168350,63351.357,60713.9862,-4.163084997979085,3465.027299999747
TORDILHA-B_012_jpg.rf.0b5caafb1952d960be9aa54f5506bf96.jpg,41,44,39,5,2,3,131075,132841,47271.0766,47907.9693,1.3473202365058172,3352.779400000145
ROSILHA-M-D_006_jpg.rf.de71085683e9c7eb460be0f184fb31ac.jpg,39,36,34,2,5,-3,133370,132272,48098.7487,47702.7644,-0.823273599760066,2838.7369000001854
TOSTADA-B_003_jpg.rf.ef070508fe8cf028db79cd03961c37d8.jpg,26,29,23,6,3,3,107559,113237,38790.2325,40837.9546,5.278963173700016,1570.6299000003128
TORDILHA-D_001_jpg.rf.36e39c15aad81283f9bcc0f8afcd649f.jpg,24,24,20,4,4,0,216445,183556,78059.0362,66197.8999,-15.195084201529257,1216.8470999995407
TOSTADA-G_009_jpg.rf.506f019d1e54427e5f81510789439725.jpg,42,40,39,1,3,-2,180289,178938,65019.6843,64532.4577,-0.7493524286007466,3137.2455999999147
