Image,Type,IoU,GT_Area_um2,AI_Area_um2,Area_Err_%
ROSILHA-M-B_003_jpg.rf.863a24cebe30a134937348de5cbcaa87.jpg,TP,0.9428,4199.6717,4374.2217,4.16
ROSILHA-M-B_003_jpg.rf.863a24cebe30a134937348de5cbcaa87.jpg,TP,0.9343,4715.7464,4737.3885,0.46
ROSILHA-M-B_003_jpg.rf.863a24cebe30a134937348de5cbcaa87.jpg,TP,0.9311,5857.5348,6048.3202,3.26
ROSILHA-M-B_003_jpg.rf.863a24cebe30a134937348de5cbcaa87.jpg,TP,0.9294,2541.4421,2620.779,3.12
ROSILHA-M-B_003_jpg.rf.863a24cebe30a134937348de5cbcaa87.jpg,TP,0.9156,1934.1176,2061.0685,6.56
ROSILHA-M-B_003_jpg.rf.863a24cebe30a134937348de5cbcaa87.jpg,TP,0.8997,12304.723,11695.9626,-4.95
ROSILHA-M-B_003_jpg.rf.863a24cebe30a134937348de5cbcaa87.jpg,TP,0.8989,1782.6529,1826.2885,2.45
ROSILHA-M-B_003_jpg.rf.863a24cebe30a134937348de5cbcaa87.jpg,TP,0.8933,584.5981,618.497,5.8
ROSILHA-M-B_003_jpg.rf.863a24cebe30a134937348de5cbcaa87.jpg,TP,0.893,10052.1586,10713.9323,6.58
ROSILHA-M-B_003_jpg.rf.863a24cebe30a134937348de5cbcaa87.jpg,TP,0.8875,1017.7315,1105.3692,8.61
ROSILHA-M-B_003_jpg.rf.863a24cebe30a134937348de5cbcaa87.jpg,TP,0.8785,1433.9117,1561.2141,8.88
ROSILHA-M-B_003_jpg.rf.863a24cebe30a134937348de5cbcaa87.jpg,TP,0.863,1843.6007,2123.8186,15.2
ROSILHA-M-B_003_jpg.rf.863a24cebe30a134937348de5cbcaa87.jpg,TP,0.8402,5443.8823,4997.4077,-8.2
ROSILHA-M-B_003_jpg.rf.863a24cebe30a134937348de5cbcaa87.jpg,TP,0.8211,5525.3878,4711.783,-14.72
ROSILHA-M-B_003_jpg.rf.863a24cebe30a134937348de5cbcaa87.jpg,TP,0.7827,319.8901,378.3103,18.26
ROSILHA-M-B_003_jpg.rf.863a24cebe30a134937348de5cbcaa87.jpg,TP,0.6675,763.4781,1063.5283,39.3
ROSILHA-M-B_003_jpg.rf.863a24cebe30a134937348de5cbcaa87.jpg,FP,0.3426,,1137.8249,
ROSILHA-M-B_003_jpg.rf.863a24cebe30a134937348de5cbcaa87.jpg,FP,0.1303,,801.348,
ROSILHA-M-B_003_jpg.rf.863a24cebe30a134937348de5cbcaa87.jpg,FP,0.4093,,4801.9409,
