Image,GT_Count,AI_Count,Count_Err,GT_Area_um2,AI_Area_um2,Area_Err_%
ROSILHA-M-B_004_jpg.rf.890d8e79d4b52d7549965ea6215f4fbf.jpg,26,28,2,107670.953,125761.7635,16.8
ROSILHA-M-B_008_jpg.rf.ee6b2f98f998a84fced6070cfade9df1.jpg,33,27,-6,72719.2817,70501.2296,-3.05
ROSILHA-M-B_011_jpg.rf.f1fa17f35711f6639c672069fbdd8a5d.jpg,17,15,-2,50528.1409,50079.9687,-0.89
TORDILHA-B_006_jpg.rf.13921e4123042aaadc8af05e7191286e.jpg,26,29,3,96135.4365,108606.4087,12.97
TORDILHA-B_007_jpg.rf.eda1d8fc5898d8738496bb0d345fb757.jpg,39,39,0,92532.3357,92158.1235,-0.4
TP-B_005_jpg.rf.eee984bf88f034eb5de7a922dd0bef23.jpg,53,52,-1,70929.5096,75610.9757,6.6
ZAINA-679-B_001_jpg.rf.da8f46eb5d14c519a3389e4946172e77.jpg,31,30,-1,108533.1217,134416.6539,23.85
ZAINA-679-B_006_jpg.rf.9939adb3b3d6c399913477863b160c66.jpg,37,33,-4,118183.8922,123252.0591,4.29
ZAZA-B_005_jpg.rf.1c6e792c2c407ccd2bebedff63255467.jpg,36,32,-4,85743.047,87314.753,1.83
ZAZA-G_011_jpg.rf.0f3eb1c5ed5920133160c6230c77c88a.jpg,29,31,2,61835.3461,60024.1861,-2.93
