epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.6802,1.67674,3.42298,1.80086,1.68268,0.52569,0.69113,0.56355,0.25935,0.47393,0.64832,0.48779,0.18973,1.58735,3.43881,3.31333,1.79874,0.00054,0.00054,0.00054
2,59.0304,1.60514,3.03291,1.8714,1.55497,0.43925,0.86544,0.68885,0.3494,0.38803,0.76453,0.5722,0.2243,1.32723,5.19638,9.41025,1.41793,0.00108911,0.00108911,0.00108911
3,93.3401,1.5874,3.07916,2.55525,1.51571,0.05663,0.5107,0.04311,0.01897,0.04103,0.37003,0.02826,0.01264,1.76054,4.21696,31.4137,1.84742,0.00162713,0.00162713,0.00162713
4,120.576,1.55054,3.13287,2.44179,1.49459,0.2088,0.41896,0.25115,0.13448,0.18289,0.36697,0.21906,0.11732,1.65419,6.42009,10.409,1.70119,0.0019406,0.0019406,0.0019406
5,153.532,1.68183,3.30914,2.03583,1.59423,0.2088,0.41896,0.25115,0.13448,0.18289,0.36697,0.21906,0.11732,1.65419,6.42009,10.409,1.70119,0.0019208,0.0019208,0.0019208
6,189.26,1.69455,3.27254,1.84773,1.54938,0.55897,0.59939,0.57593,0.26262,0.48871,0.49399,0.46214,0.17816,1.70445,4.58173,3.6237,1.69249,0.001901,0.001901,0.001901
7,216.63,1.69454,3.31889,1.72075,1.57458,0.36559,0.59633,0.38062,0.14395,0.34738,0.37003,0.28867,0.09605,1.76402,5.65588,3.15478,1.94311,0.0018812,0.0018812,0.0018812
8,242.52,1.75465,3.21554,1.67161,1.63498,0.6841,0.53517,0.62286,0.25213,0.64387,0.49207,0.56042,0.22133,1.83835,3.53933,1.97055,1.86963,0.0018614,0.0018614,0.0018614
9,268.603,1.66725,3.06376,1.61476,1.64454,0.65361,0.60011,0.68511,0.3191,0.6822,0.58426,0.67652,0.31469,1.61526,3.2868,2.73385,1.76405,0.0018416,0.0018416,0.0018416
10,297.555,1.59924,3.11071,1.56606,1.62271,0.76045,0.69898,0.77768,0.405,0.73088,0.65138,0.72437,0.34087,1.47412,3.24249,1.52231,1.56394,0.0018218,0.0018218,0.0018218
11,320.235,1.55085,2.92562,1.5237,1.54793,0.74962,0.62385,0.71589,0.40349,0.745,0.60245,0.67602,0.36276,1.51163,3.20311,1.35411,1.59556,0.001802,0.001802,0.001802
12,352.804,1.5277,2.91721,1.37767,1.52491,0.76481,0.70606,0.79191,0.43517,0.79044,0.68057,0.75656,0.37329,1.46912,2.98961,1.24883,1.49441,0.0017822,0.0017822,0.0017822
13,379.36,1.57304,2.92075,1.47047,1.54435,0.76481,0.70606,0.79191,0.43517,0.79044,0.68057,0.75656,0.37329,1.46912,2.98961,1.24883,1.49441,0.0017624,0.0017624,0.0017624
14,404.165,1.51289,2.88101,1.34663,1.51116,0.78699,0.74572,0.79926,0.43657,0.72433,0.69419,0.74278,0.3537,1.4477,3.0411,1.35547,1.5041,0.0017426,0.0017426,0.0017426
15,430.648,1.45828,2.75477,1.26833,1.48736,0.73181,0.74924,0.79319,0.42861,0.73289,0.72783,0.77088,0.36586,1.39998,2.9672,1.36633,1.53046,0.0017228,0.0017228,0.0017228
