epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.3336,1.84993,3.51072,2.12367,1.84944,0.39296,0.62691,0.48646,0.18479,0.48305,0.77064,0.65167,0.251,1.89917,4.25557,8.89513,2.05949,0.00054,0.00054,0.00054
2,22.4917,1.69899,3.33062,1.93004,1.72579,0.42324,0.47401,0.34595,0.15258,0.34523,0.4159,0.2709,0.10421,1.71385,4.9667,1.91534,1.74057,0.00109092,0.00109092,0.00109092
3,31.4044,1.63165,3.24084,1.75105,1.63748,0.71227,0.6132,0.65811,0.33048,0.6504,0.60245,0.60795,0.25654,1.66326,4.03676,2.65298,1.7027,0.00163261,0.00163261,0.00163261
4,40.2049,1.63034,3.30825,1.7619,1.63249,0.58324,0.56269,0.55761,0.25747,0.33256,0.33333,0.20884,0.06388,1.68022,5.63292,2.17889,1.74296,0.0019505,0.0019505,0.0019505
5,48.388,1.62767,3.38951,1.55423,1.64728,0.58324,0.56269,0.55761,0.25747,0.33256,0.33333,0.20884,0.06388,1.68022,5.63292,2.17889,1.74296,0.001934,0.001934,0.001934
6,57.0074,1.6567,3.573,1.56396,1.666,0.02267,0.20795,0.01377,0.0062,0.01333,0.12232,0.00751,0.0025,1.82588,5.82529,62.8721,1.84803,0.0019175,0.0019175,0.0019175
7,65.8675,1.71428,3.88844,1.56793,1.7309,0.66397,0.58716,0.63486,0.29225,0.56383,0.52905,0.49245,0.14366,1.78585,5.39614,3.31027,2.08211,0.001901,0.001901,0.001901
8,74.511,1.71475,3.74207,1.5304,1.73311,0.78402,0.64387,0.73866,0.37737,0.7304,0.61468,0.67081,0.26846,1.53833,3.92393,2.07847,1.71733,0.0018845,0.0018845,0.0018845
9,83.4722,1.73673,3.58664,1.50725,1.68527,0.33445,0.50459,0.30325,0.10191,0.29288,0.6055,0.26462,0.08324,2.07334,3.145,1.99123,2.23367,0.001868,0.001868,0.001868
10,93.0115,1.84628,3.67631,1.55986,1.74142,0.55306,0.59633,0.56686,0.21992,0.7161,0.57853,0.63868,0.23875,1.95136,3.24355,1.59744,1.88812,0.0018515,0.0018515,0.0018515
11,101.434,1.70684,3.28464,1.36743,1.61995,0.75432,0.70336,0.75652,0.31757,0.78421,0.63609,0.72555,0.30919,1.79671,3.58895,1.64316,1.83307,0.001835,0.001835,0.001835
12,110.033,1.71595,3.27342,1.3353,1.65567,0.79838,0.70237,0.77833,0.40568,0.80521,0.62385,0.73755,0.33865,1.57707,3.59327,1.32201,1.63818,0.0018185,0.0018185,0.0018185
13,119.028,1.69299,3.38855,1.39497,1.68472,0.79838,0.70237,0.77833,0.40568,0.80521,0.62385,0.73755,0.33865,1.57707,3.59327,1.32201,1.63818,0.001802,0.001802,0.001802
14,128.15,1.56019,3.15701,1.26784,1.55758,0.76278,0.68833,0.77621,0.38706,0.76078,0.68078,0.75924,0.33948,1.59048,3.02518,1.23547,1.57965,0.0017855,0.0017855,0.0017855
15,136.365,1.58249,3.23893,1.2843,1.59502,0.64147,0.737,0.72119,0.33459,0.64946,0.74618,0.73103,0.30785,1.67244,3.1503,1.3088,1.59444,0.001769,0.001769,0.001769
16,146.74,1.61033,3.26516,1.34949,1.59679,0.69471,0.65749,0.70344,0.32722,0.68759,0.63914,0.68486,0.28797,1.69772,2.90958,1.3377,1.63548,0.0017525,0.0017525,0.0017525
17,155.148,1.57741,3.15835,1.29932,1.54915,0.72108,0.73394,0.76576,0.3801,0.67897,0.70948,0.72227,0.30249,1.61493,2.87985,1.22443,1.55305,0.001736,0.001736,0.001736
18,163.611,1.5712,3.1353,1.23923,1.54641,0.75764,0.74618,0.79375,0.395,0.76355,0.71103,0.7793,0.35213,1.56531,2.85288,1.16016,1.51987,0.0017195,0.0017195,0.0017195
19,172.318,1.52143,3.05353,1.15269,1.49834,0.73856,0.66972,0.74672,0.38712,0.78293,0.66182,0.74794,0.32998,1.56899,2.98166,1.25281,1.54955,0.001703,0.001703,0.001703
20,180.408,1.48915,3.06879,1.15362,1.51365,0.7689,0.76312,0.78451,0.37696,0.73784,0.73161,0.72015,0.31776,1.64613,2.7587,1.18641,1.59939,0.0016865,0.0016865,0.0016865
21,188.719,1.55192,2.96551,1.16444,1.52348,0.7689,0.76312,0.78451,0.37696,0.73784,0.73161,0.72015,0.31776,1.64613,2.7587,1.18641,1.59939,0.00167,0.00167,0.00167
22,196.987,1.49832,2.98244,1.14383,1.50895,0.83018,0.72171,0.7936,0.41113,0.82949,0.70642,0.77293,0.36134,1.51328,2.75532,1.14347,1.49445,0.0016535,0.0016535,0.0016535
23,205.827,1.50712,2.94471,1.12352,1.49446,0.80498,0.74473,0.82712,0.41487,0.77537,0.73089,0.79265,0.35325,1.6067,2.62987,1.13173,1.54498,0.001637,0.001637,0.001637
24,214.233,1.50204,2.98522,1.17044,1.4972,0.77767,0.72738,0.7866,0.396,0.75963,0.72171,0.7679,0.34237,1.55341,2.5742,1.15564,1.50488,0.0016205,0.0016205,0.0016205
25,222.94,1.52007,3.04727,1.16146,1.49833,0.80963,0.78035,0.84401,0.44952,0.84243,0.75841,0.83983,0.39953,1.4898,2.57903,1.09112,1.46567,0.001604,0.001604,0.001604
