epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,54.4897,0.94257,1.61502,1.26697,1.15603,0.78442,0.75235,0.84625,0.65515,0.79263,0.7537,0.85496,0.57398,0.69977,1.25529,0.82305,0.96583,0.000662309,0.000662309,0.000662309
2,95.8497,0.94999,1.50928,1.04181,1.13365,0.71804,0.7353,0.73842,0.4881,0.71919,0.73647,0.73474,0.48449,0.9859,1.27903,1.01627,1.09401,0.00131801,0.00131801,0.00131801
3,136.231,1.07968,1.58361,1.03156,1.19278,0.78929,0.7914,0.84182,0.5814,0.78719,0.79015,0.83248,0.49457,1.00931,1.81598,0.87249,1.14712,0.00196271,0.00196271,0.00196271
4,176.755,1.12149,1.91296,1.06879,1.22347,0.5788,0.46714,0.4935,0.30419,0.59978,0.4626,0.49205,0.238,1.35776,2.49725,1.61256,1.47269,0.0019505,0.0019505,0.0019505
5,219.446,1.12937,1.72064,1.02277,1.24018,0.67511,0.80241,0.67837,0.47924,0.68834,0.78052,0.67229,0.35573,0.93926,1.69569,1.34053,1.10179,0.001934,0.001934,0.001934
6,259.939,1.08718,1.75825,1.07691,1.22595,0.71649,0.69366,0.73029,0.55647,0.72866,0.68897,0.72828,0.4101,0.86731,2.07954,1.07481,1.10889,0.0019175,0.0019175,0.0019175
7,300.034,0.95635,1.58597,0.90289,1.16621,0.80244,0.78052,0.81498,0.60922,0.81661,0.80485,0.83754,0.51908,0.84113,1.27547,0.84635,1.07193,0.001901,0.001901,0.001901
8,340.258,0.91288,1.54278,0.87933,1.13135,0.8153,0.76526,0.81953,0.63642,0.84636,0.74352,0.82315,0.50502,0.83152,1.6735,0.83566,1.06795,0.0018845,0.0018845,0.0018845
9,380.462,0.92108,1.51181,0.84571,1.13973,0.87269,0.82068,0.8888,0.71053,0.88021,0.82746,0.89047,0.57309,0.69748,1.1877,0.69739,1.01629,0.001868,0.001868,0.001868
10,421.73,0.87116,1.41235,0.80398,1.11462,0.82934,0.79695,0.81912,0.63314,0.82679,0.80516,0.82702,0.54076,0.71097,1.09662,0.76826,1.01248,0.0018515,0.0018515,0.0018515
11,462.078,0.83655,1.32375,0.81796,1.09635,0.83057,0.8169,0.86217,0.68731,0.86392,0.83455,0.87992,0.59287,0.70035,1.05222,0.70493,1.02632,0.001835,0.001835,0.001835
12,502.478,0.81574,1.27571,0.76958,1.08787,0.84929,0.82629,0.8882,0.69529,0.86613,0.82864,0.89736,0.58605,0.67784,0.95006,0.68401,0.98534,0.0018185,0.0018185,0.0018185
13,542.758,0.7732,1.22945,0.75566,1.0745,0.82043,0.84038,0.87303,0.70104,0.85721,0.81738,0.87491,0.57914,0.66699,1.20983,0.68358,1.02238,0.001802,0.001802,0.001802
14,583.207,0.79884,1.24839,0.74041,1.08377,0.85631,0.86502,0.90302,0.73472,0.88278,0.85681,0.91019,0.6154,0.62605,0.90808,0.62673,0.99211,0.0017855,0.0017855,0.0017855
15,624.141,0.78334,1.26093,0.74691,1.08837,0.84895,0.84272,0.89059,0.73302,0.85865,0.84038,0.89121,0.63273,0.58238,0.92501,0.60474,0.961,0.001769,0.001769,0.001769
16,665.159,0.73907,1.17043,0.68774,1.04245,0.85999,0.85211,0.89369,0.72007,0.88189,0.85883,0.90421,0.59827,0.66879,0.99144,0.62752,0.98776,0.0017525,0.0017525,0.0017525
17,706.385,0.8102,1.26059,0.79084,1.10631,0.85309,0.8615,0.89786,0.72987,0.87416,0.84791,0.89651,0.57817,0.65159,0.91045,0.61445,0.96414,0.001736,0.001736,0.001736
18,746.462,0.75333,1.16743,0.72392,1.06207,0.88927,0.83451,0.90432,0.75503,0.8938,0.82976,0.90008,0.63447,0.58827,0.90079,0.57047,0.94982,0.0017195,0.0017195,0.0017195
19,787.461,0.77537,1.19224,0.71883,1.09131,0.83196,0.84842,0.89905,0.7434,0.8589,0.84859,0.89783,0.61537,0.62418,0.88459,0.61929,0.98244,0.001703,0.001703,0.001703
