epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.3579,0.96241,1.77391,1.35253,1.16851,0.87373,0.80634,0.88359,0.74099,0.87362,0.80325,0.87403,0.58644,0.61432,1.24288,0.86966,0.90826,0.000658009,0.000658009,0.000658009
2,53.8375,0.95477,1.58511,0.98631,1.10735,0.78635,0.75469,0.83204,0.63845,0.79164,0.75363,0.82956,0.55874,0.81222,1.16649,0.89232,1.00472,0.00131375,0.00131375,0.00131375
3,74.4779,1.01464,1.61506,0.98768,1.14591,0.79168,0.73474,0.80992,0.57748,0.81585,0.75587,0.82756,0.49371,0.95503,1.35682,1.04632,1.13134,0.00195848,0.00195848,0.00195848
4,95.194,1.01221,1.59468,1.00756,1.13277,0.87023,0.80279,0.89776,0.6885,0.87339,0.80969,0.90055,0.65547,0.82127,1.20468,0.75828,1.0024,0.0019505,0.0019505,0.0019505
5,116.01,0.99501,1.58763,0.95375,1.13472,0.81213,0.84624,0.8763,0.67977,0.82345,0.8392,0.87882,0.5866,0.74847,1.25449,0.87273,0.99323,0.001934,0.001934,0.001934
6,136.636,0.94442,1.43974,0.8691,1.09541,0.86636,0.81808,0.88449,0.68875,0.88653,0.81808,0.88022,0.61333,0.73123,1.00265,0.68824,0.96552,0.0019175,0.0019175,0.0019175
7,157.2,0.90075,1.34294,0.83273,1.07266,0.82675,0.84859,0.89084,0.70038,0.84469,0.84261,0.88802,0.58221,0.72111,0.97106,0.70692,0.97398,0.001901,0.001901,0.001901
8,177.667,0.95118,1.47247,0.91718,1.12454,0.8517,0.80218,0.89386,0.67489,0.85999,0.80399,0.88703,0.59855,0.86655,0.99989,0.68228,0.99093,0.0018845,0.0018845,0.0018845
9,198.322,0.85224,1.30227,0.83197,1.06639,0.81599,0.83278,0.87402,0.69801,0.83509,0.83212,0.8789,0.59456,0.68107,0.94974,0.68563,0.94704,0.001868,0.001868,0.001868
10,218.882,0.86397,1.27125,0.83312,1.05584,0.8405,0.85969,0.90194,0.7252,0.84643,0.86036,0.89791,0.61676,0.65096,0.84071,0.62191,0.93528,0.0018515,0.0018515,0.0018515
11,239.705,0.83779,1.31594,0.80946,1.06669,0.83657,0.81105,0.87431,0.70421,0.87139,0.81925,0.88403,0.59081,0.69678,0.95391,0.66657,0.96006,0.001835,0.001835,0.001835
12,260.468,0.83074,1.28586,0.76526,1.04411,0.85168,0.83569,0.89986,0.74104,0.87485,0.82864,0.90512,0.66317,0.59912,0.78573,0.59987,0.9218,0.0018185,0.0018185,0.0018185
13,281.301,0.81256,1.29742,0.77126,1.04474,0.8945,0.84272,0.9122,0.74912,0.89285,0.84038,0.90261,0.62322,0.63021,0.83074,0.58663,0.93692,0.001802,0.001802,0.001802
14,302.086,0.79226,1.22071,0.76278,1.04016,0.85835,0.82629,0.9001,0.72977,0.86973,0.83061,0.8942,0.62362,0.63915,0.88483,0.65677,0.92751,0.0017855,0.0017855,0.0017855
15,322.543,0.83336,1.29511,0.80479,1.07014,0.89013,0.83682,0.91674,0.76887,0.89013,0.83682,0.90799,0.66002,0.57856,0.79303,0.57906,0.90474,0.001769,0.001769,0.001769
16,343.336,0.79483,1.21329,0.74695,1.03676,0.86567,0.82629,0.89492,0.72926,0.87762,0.82042,0.88878,0.62412,0.6425,0.84006,0.60964,0.91749,0.0017525,0.0017525,0.0017525
17,363.972,0.79514,1.21352,0.72825,1.03553,0.85005,0.8662,0.91298,0.75491,0.8847,0.82857,0.90222,0.62204,0.62314,0.81738,0.57429,0.91783,0.001736,0.001736,0.001736
18,384.571,0.76006,1.16071,0.70838,1.02296,0.86456,0.82042,0.91608,0.78128,0.8897,0.80751,0.90343,0.63584,0.56945,0.76488,0.56138,0.90574,0.0017195,0.0017195,0.0017195
19,405.094,0.73786,1.12841,0.69253,1.01467,0.83869,0.87324,0.91151,0.75055,0.86187,0.85681,0.90223,0.62926,0.63511,0.82064,0.57666,0.91708,0.001703,0.001703,0.001703
20,425.443,0.75847,1.1136,0.69631,1.01665,0.86149,0.85798,0.92007,0.7576,0.87776,0.85962,0.91223,0.61479,0.59807,0.76052,0.56236,0.9127,0.0016865,0.0016865,0.0016865
21,446.058,0.80505,1.19264,0.74529,1.04051,0.83536,0.86351,0.91087,0.76219,0.85988,0.86502,0.90687,0.62484,0.57377,0.79411,0.59793,0.91562,0.00167,0.00167,0.00167
22,466.508,0.76593,1.14394,0.71148,1.01905,0.86168,0.84624,0.90297,0.7403,0.87379,0.85324,0.90651,0.64847,0.6211,0.85465,0.63697,0.9246,0.0016535,0.0016535,0.0016535
