Image,Match_Type,AI_Index,GT_Index,IoU,GT_Area_px,AI_Area_px,GT_Area_um2,AI_Area_um2,Conf,Run
ROSILHA-M-G_005_jpg.rf.afae2fb85329c0fe56679d51ca1c64fd.jpg,TP,1,1,0.960085,14291,14191,5153.9268,5117.8626,0.46,seg_small_optA_r560_acc16_lr1e4
ROSILHA-M-G_005_jpg.rf.afae2fb85329c0fe56679d51ca1c64fd.jpg,TP,3,11,0.951281,23056,22723,8314.949,8194.8554,0.46,seg_small_optA_r560_acc16_lr1e4
ROSILHA-M-G_005_jpg.rf.afae2fb85329c0fe56679d51ca1c64fd.jpg,TP,5,10,0.946523,7305,7473,2634.4857,2695.0735,0.46,seg_small_optA_r560_acc16_lr1e4
ROSILHA-M-G_005_jpg.rf.afae2fb85329c0fe56679d51ca1c64fd.jpg,TP,11,4,0.940937,36652,35677,13218.23,12866.6046,0.46,seg_small_optA_r560_acc16_lr1e4
ROSILHA-M-G_005_jpg.rf.afae2fb85329c0fe56679d51ca1c64fd.jpg,TP,0,2,0.924238,6501,6122,2344.53,2207.8469,0.46,seg_small_optA_r560_acc16_lr1e4
ROSILHA-M-G_005_jpg.rf.afae2fb85329c0fe56679d51ca1c64fd.jpg,TP,2,0,0.917942,718,661,258.9405,238.384,0.46,seg_small_optA_r560_acc16_lr1e4
ROSILHA-M-G_005_jpg.rf.afae2fb85329c0fe56679d51ca1c64fd.jpg,TP,6,9,0.913941,8005,7385,2886.9347,2663.337,0.46,seg_small_optA_r560_acc16_lr1e4
ROSILHA-M-G_005_jpg.rf.afae2fb85329c0fe56679d51ca1c64fd.jpg,TP,9,5,0.836663,14099,12382,5084.6837,4465.4623,0.46,seg_small_optA_r560_acc16_lr1e4
ROSILHA-M-G_005_jpg.rf.afae2fb85329c0fe56679d51ca1c64fd.jpg,TP,7,3,0.758974,194,149,69.9644,53.7356,0.46,seg_small_optA_r560_acc16_lr1e4
ROSILHA-M-G_005_jpg.rf.afae2fb85329c0fe56679d51ca1c64fd.jpg,TP,4,6,0.730904,22146,29904,7986.7653,10784.6216,0.46,seg_small_optA_r560_acc16_lr1e4
ROSILHA-M-G_005_jpg.rf.afae2fb85329c0fe56679d51ca1c64fd.jpg,TP,12,8,0.515085,14572,15107,5255.2671,5448.2102,0.46,seg_small_optA_r560_acc16_lr1e4
ROSILHA-M-G_005_jpg.rf.afae2fb85329c0fe56679d51ca1c64fd.jpg,FP,8,-1,0.0,0,69,0,24.8843,0.46,seg_small_optA_r560_acc16_lr1e4
ROSILHA-M-G_005_jpg.rf.afae2fb85329c0fe56679d51ca1c64fd.jpg,FP,10,-1,0.0,0,159,0,57.342,0.46,seg_small_optA_r560_acc16_lr1e4
ROSILHA-M-G_005_jpg.rf.afae2fb85329c0fe56679d51ca1c64fd.jpg,FP,13,-1,0.0,0,41740,0,15053.1736,0.46,seg_small_optA_r560_acc16_lr1e4
ROSILHA-M-G_005_jpg.rf.afae2fb85329c0fe56679d51ca1c64fd.jpg,FN,-1,7,0.0,5044,0,1819.0754,0,0.46,seg_small_optA_r560_acc16_lr1e4
ROSILHA-M-G_005_jpg.rf.afae2fb85329c0fe56679d51ca1c64fd.jpg,FN,-1,12,0.0,6834,0,2464.6236,0,0.46,seg_small_optA_r560_acc16_lr1e4
ZAZA-G_010_jpg.rf.cd14098445a0a54c10014aaa7d8f975c.jpg,TP,24,25,0.968524,3423,3394,1234.4756,1224.0171,0.46,seg_small_optA_r560_acc16_lr1e4
ZAZA-G_010_jpg.rf.cd14098445a0a54c10014aaa7d8f975c.jpg,TP,6,5,0.96389,8319,8160,3000.1761,2942.8341,0.46,seg_small_optA_r560_acc16_lr1e4
ZAZA-G_010_jpg.rf.cd14098445a0a54c10014aaa7d8f975c.jpg,TP,25,26,0.962928,2070,2060,746.5278,742.9214,0.46,seg_small_optA_r560_acc16_lr1e4
ZAZA-G_010_jpg.rf.cd14098445a0a54c10014aaa7d8f975c.jpg,TP,12,8,0.959275,11902,11672,4292.3544,4209.4069,0.46,seg_small_optA_r560_acc16_lr1e4
ZAZA-G_010_jpg.rf.cd14098445a0a54c10014aaa7d8f975c.jpg,TP,7,9,0.95651,7426,7240,2678.1233,2611.044,0.46,seg_small_optA_r560_acc16_lr1e4
ZAZA-G_010_jpg.rf.cd14098445a0a54c10014aaa7d8f975c.jpg,TP,8,3,0.952716,5429,5391,1957.9224,1944.218,0.46,seg_small_optA_r560_acc16_lr1e4
ZAZA-G_010_jpg.rf.cd14098445a0a54c10014aaa7d8f975c.jpg,TP,20,28,0.951202,2808,2710,1012.6812,977.3383,0.46,seg_small_optA_r560_acc16_lr1e4
ZAZA-G_010_jpg.rf.cd14098445a0a54c10014aaa7d8f975c.jpg,TP,3,11,0.95042,5116,4876,1845.0416,1758.4876,0.46,seg_small_optA_r560_acc16_lr1e4
ZAZA-G_010_jpg.rf.cd14098445a0a54c10014aaa7d8f975c.jpg,TP,11,23,0.947795,5252,5083,1894.0888,1833.1404,0.46,seg_small_optA_r560_acc16_lr1e4
ZAZA-G_010_jpg.rf.cd14098445a0a54c10014aaa7d8f975c.jpg,TP,10,24,0.946041,5704,5404,2057.0988,1948.9063,0.46,seg_small_optA_r560_acc16_lr1e4
ZAZA-G_010_jpg.rf.cd14098445a0a54c10014aaa7d8f975c.jpg,TP,5,15,0.940786,3742,3567,1349.5202,1286.408,0.46,seg_small_optA_r560_acc16_lr1e4
ZAZA-G_010_jpg.rf.cd14098445a0a54c10014aaa7d8f975c.jpg,TP,18,7,0.937218,4196,3950,1513.2515,1424.5337,0.46,seg_small_optA_r560_acc16_lr1e4
ZAZA-G_010_jpg.rf.cd14098445a0a54c10014aaa7d8f975c.jpg,TP,2,10,0.932821,4020,3777,1449.7786,1362.1427,0.46,seg_small_optA_r560_acc16_lr1e4
ZAZA-G_010_jpg.rf.cd14098445a0a54c10014aaa7d8f975c.jpg,TP,14,2,0.932468,3728,3569,1344.4713,1287.1293,0.46,seg_small_optA_r560_acc16_lr1e4
ZAZA-G_010_jpg.rf.cd14098445a0a54c10014aaa7d8f975c.jpg,TP,19,27,0.930272,2339,2201,843.5403,793.7718,0.46,seg_small_optA_r560_acc16_lr1e4
ZAZA-G_010_jpg.rf.cd14098445a0a54c10014aaa7d8f975c.jpg,TP,13,13,0.927482,4747,4476,1711.9649,1614.2311,0.46,seg_small_optA_r560_acc16_lr1e4
ZAZA-G_010_jpg.rf.cd14098445a0a54c10014aaa7d8f975c.jpg,TP,21,16,0.925107,1629,1507,587.4849,543.4866,0.46,seg_small_optA_r560_acc16_lr1e4
ZAZA-G_010_jpg.rf.cd14098445a0a54c10014aaa7d8f975c.jpg,TP,17,14,0.91556,4590,4212,1655.3442,1519.0217,0.46,seg_small_optA_r560_acc16_lr1e4
ZAZA-G_010_jpg.rf.cd14098445a0a54c10014aaa7d8f975c.jpg,TP,1,0,0.905512,3302,2990,1190.838,1078.3179,0.46,seg_small_optA_r560_acc16_lr1e4
ZAZA-G_010_jpg.rf.cd14098445a0a54c10014aaa7d8f975c.jpg,TP,0,12,0.90346,6474,5849,2334.7927,2109.3918,0.46,seg_small_optA_r560_acc16_lr1e4
ZAZA-G_010_jpg.rf.cd14098445a0a54c10014aaa7d8f975c.jpg,TP,4,1,0.902301,5623,5125,2027.8868,1848.2874,0.46,seg_small_optA_r560_acc16_lr1e4
ZAZA-G_010_jpg.rf.cd14098445a0a54c10014aaa7d8f975c.jpg,TP,16,21,0.897566,1964,1778,708.2998,641.2205,0.46,seg_small_optA_r560_acc16_lr1e4
ZAZA-G_010_jpg.rf.cd14098445a0a54c10014aaa7d8f975c.jpg,TP,15,6,0.895459,4175,3839,1505.678,1384.5025,0.46,seg_small_optA_r560_acc16_lr1e4
ZAZA-G_010_jpg.rf.cd14098445a0a54c10014aaa7d8f975c.jpg,TP,23,22,0.893863,1385,1238,499.4884,446.4741,0.46,seg_small_optA_r560_acc16_lr1e4
ZAZA-G_010_jpg.rf.cd14098445a0a54c10014aaa7d8f975c.jpg,TP,9,4,0.884525,5099,4546,1838.9107,1639.476,0.46,seg_small_optA_r560_acc16_lr1e4
ZAZA-G_010_jpg.rf.cd14098445a0a54c10014aaa7d8f975c.jpg,TP,22,17,0.858378,925,794,333.5933,286.3493,0.46,seg_small_optA_r560_acc16_lr1e4
ZAZA-G_010_jpg.rf.cd14098445a0a54c10014aaa7d8f975c.jpg,FN,-1,18,0.0,157,0,56.6207,0,0.46,seg_small_optA_r560_acc16_lr1e4
ZAZA-G_010_jpg.rf.cd14098445a0a54c10014aaa7d8f975c.jpg,FN,-1,19,0.0,74,0,26.6874,0,0.46,seg_small_optA_r560_acc16_lr1e4
ZAZA-G_010_jpg.rf.cd14098445a0a54c10014aaa7d8f975c.jpg,FN,-1,20,0.0,28,0,10.098,0,0.46,seg_small_optA_r560_acc16_lr1e4
ZAINA-679-B_010_jpg.rf.4a3c6644c7fdcdc349eacebe9a97fbd7.jpg,TP,3,9,0.96484,9583,9529,3456.0269,3436.5523,0.46,seg_small_optA_r560_acc16_lr1e4
ZAINA-679-B_010_jpg.rf.4a3c6644c7fdcdc349eacebe9a97fbd7.jpg,TP,1,8,0.961682,7782,8037,2806.5117,2898.4753,0.46,seg_small_optA_r560_acc16_lr1e4
ZAINA-679-B_010_jpg.rf.4a3c6644c7fdcdc349eacebe9a97fbd7.jpg,TP,16,22,0.961094,5585,5605,2014.1824,2021.3952,0.46,seg_small_optA_r560_acc16_lr1e4
ZAINA-679-B_010_jpg.rf.4a3c6644c7fdcdc349eacebe9a97fbd7.jpg,TP,15,36,0.959794,3095,2998,1116.1853,1081.2031,0.46,seg_small_optA_r560_acc16_lr1e4
ZAINA-679-B_010_jpg.rf.4a3c6644c7fdcdc349eacebe9a97fbd7.jpg,TP,21,3,0.959505,5273,5179,1901.6623,1867.762,0.46,seg_small_optA_r560_acc16_lr1e4
