Image,Match_Type,AI_Index,GT_Index,IoU,GT_Area_px,AI_Area_px,GT_Area_um2,AI_Area_um2,Conf,Run
ROSILHA-M-G_005_jpg.rf.afae2fb85329c0fe56679d51ca1c64fd.jpg,TP,1,1,0.973084,14304,14138,6898.1481,6818.0941,0.44,seg_large_r672_auto
ROSILHA-M-G_005_jpg.rf.afae2fb85329c0fe56679d51ca1c64fd.jpg,TP,5,10,0.96229,7316,7150,3528.1636,3448.1096,0.44,seg_large_r672_auto
ROSILHA-M-G_005_jpg.rf.afae2fb85329c0fe56679d51ca1c64fd.jpg,TP,2,2,0.944207,6509,6245,3138.9853,3011.6705,0.44,seg_large_r672_auto
ROSILHA-M-G_005_jpg.rf.afae2fb85329c0fe56679d51ca1c64fd.jpg,TP,3,0,0.920613,718,661,346.2577,318.7693,0.44,seg_large_r672_auto
ROSILHA-M-G_005_jpg.rf.afae2fb85329c0fe56679d51ca1c64fd.jpg,TP,4,7,0.911506,5051,4734,2435.8603,2282.9861,0.44,seg_large_r672_auto
ROSILHA-M-G_005_jpg.rf.afae2fb85329c0fe56679d51ca1c64fd.jpg,TP,9,9,0.911015,8020,7421,3867.6698,3578.8002,0.44,seg_large_r672_auto
ROSILHA-M-G_005_jpg.rf.afae2fb85329c0fe56679d51ca1c64fd.jpg,TP,12,4,0.836088,36657,42449,17677.9514,20471.1613,0.44,seg_large_r672_auto
ROSILHA-M-G_005_jpg.rf.afae2fb85329c0fe56679d51ca1c64fd.jpg,TP,0,6,0.731162,22162,29920,10687.6929,14429.0123,0.44,seg_large_r672_auto
ROSILHA-M-G_005_jpg.rf.afae2fb85329c0fe56679d51ca1c64fd.jpg,TP,6,3,0.726804,194,141,93.5571,67.9977,0.44,seg_large_r672_auto
ROSILHA-M-G_005_jpg.rf.afae2fb85329c0fe56679d51ca1c64fd.jpg,TP,7,8,0.682813,14585,10324,7033.6613,4978.7809,0.44,seg_large_r672_auto
ROSILHA-M-G_005_jpg.rf.afae2fb85329c0fe56679d51ca1c64fd.jpg,TP,10,11,0.543222,23080,41277,11130.4012,19905.9606,0.44,seg_large_r672_auto
ROSILHA-M-G_005_jpg.rf.afae2fb85329c0fe56679d51ca1c64fd.jpg,FP,8,-1,0.0,0,88,0.0,42.4383,0.44,seg_large_r672_auto
ROSILHA-M-G_005_jpg.rf.afae2fb85329c0fe56679d51ca1c64fd.jpg,FP,11,-1,0.0,0,173,0.0,83.4298,0.44,seg_large_r672_auto
ROSILHA-M-G_005_jpg.rf.afae2fb85329c0fe56679d51ca1c64fd.jpg,FN,-1,5,0.0,14104,0,6801.6975,0.0,0.44,seg_large_r672_auto
ROSILHA-M-G_005_jpg.rf.afae2fb85329c0fe56679d51ca1c64fd.jpg,FN,-1,12,0.0,6836,0,3296.6821,0.0,0.44,seg_large_r672_auto
ZAZA-G_010_jpg.rf.cd14098445a0a54c10014aaa7d8f975c.jpg,TP,15,25,0.971204,3424,3353,1651.2346,1616.9946,0.44,seg_large_r672_auto
ZAZA-G_010_jpg.rf.cd14098445a0a54c10014aaa7d8f975c.jpg,TP,24,8,0.962142,11911,11723,5744.1165,5653.4529,0.44,seg_large_r672_auto
ZAZA-G_010_jpg.rf.cd14098445a0a54c10014aaa7d8f975c.jpg,TP,23,9,0.961112,7429,7246,3582.6582,3494.4059,0.44,seg_large_r672_auto
ZAZA-G_010_jpg.rf.cd14098445a0a54c10014aaa7d8f975c.jpg,TP,0,5,0.958402,8324,8201,4014.2747,3954.9576,0.44,seg_large_r672_auto
