Image,GT_Count,AI_Count,Matched_Count,FP_Count,FN_Count,GT_Area_px,AI_Area_px,GT_Area_um2,AI_Area_um2,Conf,Run
ROSILHA-M-G_005_jpg.rf.afae2fb85329c0fe56679d51ca1c64fd.jpg,13,13,11,2,2,159536,164721,57535.2925,59405.2184,0.44,seg_large_r672_auto
ZAZA-G_010_jpg.rf.cd14098445a0a54c10014aaa7d8f975c.jpg,29,26,26,0,3,115768,109217,41750.7381,39388.176,0.44,seg_large_r672_auto
ZAINA-679-B_010_jpg.rf.4a3c6644c7fdcdc349eacebe9a97fbd7.jpg,38,46,36,10,2,191788,196516,69166.7002,70871.8129,0.44,seg_large_r672_auto
TP-B_001_jpg.rf.476ac40460a2659ffbad7973abf99d86.jpg,31,31,30,1,1,138967,125517,50117.2588,45266.6314,0.44,seg_large_r672_auto
ROSILHA-M-G_017_jpg.rf.85fc7b8a7b63a2cbb64907a1c82d5d51.jpg,17,18,17,1,0,60690,58265,21887.3289,21012.7734,0.44,seg_large_r672_auto
TORDILHA-B_009_jpg.rf.5902113a7929ec9592dc2b09471de461.jpg,48,50,44,6,4,103403,102668,37291.4067,37026.3352,0.44,seg_large_r672_auto
ROSILHA-M-D_009_jpg.rf.b52035c8fe5fd87e1eed76dc4bbe6a14.jpg,26,28,26,2,0,199555,207363,71967.8023,74783.6907,0.44,seg_large_r672_auto
TORDILHA-D_006_jpg.rf.d879d44ef1add0b327aa39f6650afc47.jpg,35,34,27,7,8,221325,176603,79818.9664,63690.36,0.44,seg_large_r672_auto
ZAINA-679-B_011_jpg.rf.27d46a055eff6f5810ec4c5c9429b994.jpg,24,25,23,2,1,225942,233968,81484.0479,84378.5561,0.44,seg_large_r672_auto
ZAZA-B_008_jpg.rf.92ad451b5359143319a46e599a0239d1.jpg,28,29,25,4,3,197532,222738,71238.2247,80328.5528,0.44,seg_large_r672_auto
ROSILHA-M-G_001_jpg.rf.3dab74a9f6c203f6aca8afc07a353bd2.jpg,18,20,18,2,0,66161,62891,23860.3983,22681.1007,0.44,seg_large_r672_auto
TORDILHA-B_010_jpg.rf.698124083a3806b10e86f6304c2b5ce1.jpg,31,34,30,4,1,144326,157769,52049.9363,56898.0391,0.44,seg_large_r672_auto
TOSTADA-G_011_jpg.rf.c0b219a9a6742c565eddfcdb51541b7d.jpg,30,32,29,3,1,167880,181672,60544.4847,65518.4514,0.44,seg_large_r672_auto
ROSILHA-M-B_003_jpg.rf.863a24cebe30a134937348de5cbcaa87.jpg,20,19,15,4,5,185177,218140,66782.4997,78670.3234,0.44,seg_large_r672_auto
ZAZA-G_012_jpg.rf.b65fca463e4411032a599acd7494f06d.jpg,35,34,32,2,3,156038,151999,56273.7688,54817.138,0.44,seg_large_r672_auto
TORDILHA-G_009_jpg.rf.b279af9f6892d54790621c0f5458daf3.jpg,37,42,37,5,0,148737,158137,53640.7256,57030.7551,0.44,seg_large_r672_auto
TP-G_010_jpg.rf.5c8b394cdec2d68bae00b4eb6679ec08.jpg,37,36,33,3,4,144494,135066,52110.524,48710.3966,0.44,seg_large_r672_auto
TOSTADA-B_006_jpg.rf.fd9a20fd791843647a700cdeb77e0cc3.jpg,24,26,21,5,3,120270,113568,43374.3458,40957.3269,0.44,seg_large_r672_auto
TP-D_010_jpg.rf.8e807d0647c50bd1b8d28134da2e26a4.jpg,47,45,42,3,5,119053,114766,42935.4452,41389.3753,0.44,seg_large_r672_auto
TP-G_008_jpg.rf.7ce2f84776589571f8d07c60f1c4e63c.jpg,33,27,27,0,6,137279,134188,49508.4961,48393.7534,0.44,seg_large_r672_auto
ZAZA-D_004_jpg.rf.02ed2d595bd7bc4d5f40bda7d3f8e5d2.jpg,35,35,32,3,3,160548,154149,57900.2617,55592.5171,0.44,seg_large_r672_auto
ROSILHA-M-B_009_jpg.rf.d2aa8881a0b4f54b4bdb89392b953e71.jpg,44,41,38,3,6,175883,146939,63430.6981,52992.2924,0.44,seg_large_r672_auto
TORDILHA-B_012_jpg.rf.0b5caafb1952d960be9aa54f5506bf96.jpg,41,44,39,5,2,131258,135022,47337.0739,48694.5283,0.44,seg_large_r672_auto
ROSILHA-M-D_006_jpg.rf.de71085683e9c7eb460be0f184fb31ac.jpg,39,36,33,3,6,133535,145093,48158.2545,52326.5483,0.44,seg_large_r672_auto
TOSTADA-B_003_jpg.rf.ef070508fe8cf028db79cd03961c37d8.jpg,26,27,22,5,4,107678,105623,38833.1488,38092.0306,0.44,seg_large_r672_auto
TORDILHA-D_001_jpg.rf.36e39c15aad81283f9bcc0f8afcd649f.jpg,24,26,22,4,2,216590,188663,78111.3292,68039.6957,0.44,seg_large_r672_auto
TOSTADA-G_009_jpg.rf.506f019d1e54427e5f81510789439725.jpg,42,44,40,4,2,180447,179979,65076.6657,64907.8854,0.44,seg_large_r672_auto
