epoch,step,train/cardinality_error,train/cardinality_error_0,train/cardinality_error_1,train/cardinality_error_2,train/cardinality_error_3,train/cardinality_error_enc,train/class_error,train/loss,train/loss_bbox,train/loss_bbox_0,train/loss_bbox_1,train/loss_bbox_2,train/loss_bbox_3,train/loss_bbox_enc,train/loss_ce,train/loss_ce_0,train/loss_ce_1,train/loss_ce_2,train/loss_ce_3,train/loss_ce_enc,train/loss_giou,train/loss_giou_0,train/loss_giou_1,train/loss_giou_2,train/loss_giou_3,train/loss_giou_enc,train/loss_mask_ce,train/loss_mask_ce_0,train/loss_mask_ce_1,train/loss_mask_ce_2,train/loss_mask_ce_3,train/loss_mask_ce_enc,train/loss_mask_dice,train/loss_mask_dice_0,train/loss_mask_dice_1,train/loss_mask_dice_2,train/loss_mask_dice_3,train/loss_mask_dice_enc,train/lr,train/lr_max,train/lr_min,val/AP/microcotiledone,val/F1,val/cardinality_error,val/cardinality_error_0,val/cardinality_error_1,val/cardinality_error_2,val/cardinality_error_3,val/cardinality_error_enc,val/class_error,val/ema_mAP_50,val/ema_mAP_50_95,val/ema_mAR,val/ema_segm_mAP_50,val/ema_segm_mAP_50_95,val/loss,val/loss_bbox,val/loss_bbox_0,val/loss_bbox_1,val/loss_bbox_2,val/loss_bbox_3,val/loss_bbox_enc,val/loss_ce,val/loss_ce_0,val/loss_ce_1,val/loss_ce_2,val/loss_ce_3,val/loss_ce_enc,val/loss_giou,val/loss_giou_0,val/loss_giou_1,val/loss_giou_2,val/loss_giou_3,val/loss_giou_enc,val/loss_mask_ce,val/loss_mask_ce_0,val/loss_mask_ce_1,val/loss_mask_ce_2,val/loss_mask_ce_3,val/loss_mask_ce_enc,val/loss_mask_dice,val/loss_mask_dice_0,val/loss_mask_dice_1,val/loss_mask_dice_2,val/loss_mask_dice_3,val/loss_mask_dice_enc,val/mAP_50,val/mAP_50_95,val/mAP_75,val/mAR,val/precision,val/recall,val/segm_mAP_50,val/segm_mAP_50_95
0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7807239890098572,0.8873072266578674,168.44444274902344,168.44444274902344,168.44444274902344,168.44444274902344,168.44444274902344,168.44444274902344,0.0,0.8960431218147278,0.7828506827354431,0.8667840361595154,0.9132364988327026,0.7632392644882202,8.919034004211426,0.019440067932009697,0.029841069132089615,0.023667307570576668,0.02191617526113987,0.020440366119146347,0.051901236176490784,0.5005239248275757,0.8916657567024231,0.5752673149108887,0.5263364315032959,0.5028212666511536,0.6865025758743286,0.12277258932590485,0.16292744874954224,0.1376008689403534,0.13158266246318817,0.12353228777647018,0.2616831958293915,0.015427667647600174,0.018609674647450447,0.014868623577058315,0.014945749193429947,0.0154926348477602,0.0218201857060194,0.05545343831181526,0.07230110466480255,0.06460768729448318,0.06148090958595276,0.062074728310108185,0.08685510605573654,0.8964461088180542,0.7807239890098572,0.8275694251060486,0.8666666746139526,0.8968824744224548,0.8779342770576477,0.912479043006897,0.7632930278778076
0,9,2566.625,2567.331298828125,2563.0,2565.28125,2567.956298828125,2569.268798828125,0.13126544654369354,12.470012664794922,0.03982553631067276,0.054272186011075974,0.046644873917102814,0.04326138645410538,0.04087408632040024,0.0726318359375,0.6770957708358765,0.9788018465042114,0.7218366265296936,0.6688404083251953,0.6728266477584839,0.7493594288825989,0.1856849491596222,0.22910650074481964,0.2105238437652588,0.1996454894542694,0.1902974247932434,0.2960943579673767,0.022255202755331993,0.027958879247307777,0.02344682067632675,0.022548820823431015,0.022488044574856758,0.03278117626905441,0.09176308661699295,0.11189423501491547,0.10233088582754135,0.09760367125272751,0.09359769523143768,0.1295311152935028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8126773834228516,0.9006060361862183,168.44444274902344,168.44444274902344,168.44444274902344,168.44444274902344,168.44444274902344,168.44444274902344,0.0,0.918458878993988,0.8155002593994141,0.8803990483283997,0.9254739284515381,0.7802324295043945,8.018705368041992,0.017168061807751656,0.02548399195075035,0.021917304024100304,0.019906776025891304,0.018562784418463707,0.039719510823488235,0.45947015285491943,0.7463496327400208,0.543452262878418,0.4899154007434845,0.4750881791114807,0.6441372632980347,0.10824058949947357,0.13984103500843048,0.1274535357952118,0.11927394568920135,0.11146434396505356,0.20561483502388,0.014519352465867996,0.017833568155765533,0.015147048979997635,0.01504580769687891,0.01478673331439495,0.019689485430717468,0.05664663016796112,0.05968484655022621,0.06380749493837357,0.05573738366365433,0.0517256036400795,0.07992085814476013,0.9157299399375916,0.8126773834228516,0.8663609027862549,0.8772300481796265,0.9310777187347412,0.8720657229423523,0.9252462983131409,0.7786581516265869
1,19,2571.25634765625,2571.268798828125,2571.268798828125,2571.237548828125,2571.21240234375,2571.268798828125,-9.5367431640625e-07,9.49515151977539,0.024069318547844887,0.03593499958515167,0.02935863472521305,0.02641238644719124,0.02509925700724125,0.05530918389558792,0.5277960300445557,0.9189177751541138,0.6400839686393738,0.5601094365119934,0.5301345586776733,0.708462655544281,0.13672348856925964,0.1737983226776123,0.15563872456550598,0.14809568226337433,0.1401917189359665,0.2477780282497406,0.017054185271263123,0.018313126638531685,0.017324263229966164,0.016675084829330444,0.016916261985898018,0.022208234295248985,0.06090050935745239,0.0722796767950058,0.06771112233400345,0.0643780380487442,0.06258558481931686,0.08850927650928497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.818860650062561,0.8983253836631775,168.44444274902344,168.44444274902344,168.44444274902344,168.40740966796875,168.44444274902344,168.44444274902344,0.0,0.9202275276184082,0.814773678779602,0.8848591446876526,0.9312937259674072,0.8123304843902588,7.652368545532227,0.015447231009602547,0.022736143320798874,0.018866585567593575,0.01663780026137829,0.015746796503663063,0.0379546619951725,0.4709280729293823,0.7322002053260803,0.5198001265525818,0.49057260155677795,0.47123008966445923,0.598343551158905,0.10107460618019104,0.12905839085578918,0.11756095290184021,0.10849364846944809,0.10188722610473633,0.19331838190555573,0.014304867945611477,0.01495988480746746,0.014894225634634495,0.014087183400988579,0.014537264592945576,0.020723294466733932,0.0528118833899498,0.060884151607751846,0.05180511251091957,0.0509970523416996,0.051648326218128204,0.08425894379615784,0.9197726249694824,0.818860650062561,0.8663272857666016,0.8893192410469055,0.9158536791801453,0.8814554214477539,0.9311895966529846,0.811941385269165
2,29,2570.66259765625,2570.6875,2570.69384765625,2570.574951171875,2570.53759765625,2570.69384765625,-1.0490417707842425e-06,8.767454147338867,0.023784944787621498,0.032994989305734634,0.028744861483573914,0.025705594569444656,0.024336637929081917,0.050314463675022125,0.4719327986240387,0.8456531763076782,0.563698410987854,0.4950948655605316,0.48184600472450256,0.6311899423599243,0.126059427857399,0.15938110649585724,0.14446108043193817,0.1360304206609726,0.12925830483436584,0.23456545174121857,0.016358399763703346,0.019456183537840843,0.018103867769241333,0.016543354839086533,0.01628763973712921,0.02200729213654995,0.05638750270009041,0.06880056858062744,0.06357158720493317,0.059008024632930756,0.05758531019091606,0.08371376991271973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8045828938484192,0.8931804299354553,168.44444274902344,168.44444274902344,168.44444274902344,168.44444274902344,168.44444274902344,168.44444274902344,0.0,0.9112393856048584,0.8087823390960693,0.8872065544128418,0.9219047427177429,0.8019078373908997,7.696334362030029,0.016630923375487328,0.022619111463427544,0.017898855730891228,0.01796627976000309,0.016933836042881012,0.03634009510278702,0.4898838698863983,0.8057031035423279,0.5468194484710693,0.48496177792549133,0.4876735806465149,0.6234506964683533,0.10470955818891525,0.12956471741199493,0.11286694556474686,0.11114785075187683,0.106621652841568,0.19452033936977386,0.01377335749566555,0.01431793998926878,0.011499740183353424,0.015623913146555424,0.013498898595571518,0.016575589776039124,0.04951804131269455,0.061786022037267685,0.0485716387629509,0.05339445173740387,0.047240715473890305,0.0736066922545433,0.9100250601768494,0.8045828938484192,0.8635576963424683,0.8857980966567993,0.9192546606063843,0.8685445785522461,0.9208368062973022,0.8018836379051208
3,39,2570.64990234375,2570.643798828125,2570.64990234375,2570.49365234375,2570.53125,2570.64990234375,-1.0013579867518274e-06,8.117775917053223,0.019335951656103134,0.02769794687628746,0.022982465103268623,0.021149106323719025,0.019793454557657242,0.044919420033693314,0.4522677958011627,0.8275997042655945,0.54319167137146,0.4783811569213867,0.457568883895874,0.6057195067405701,0.11644874513149261,0.14682386815547943,0.13252919912338257,0.1255539357662201,0.11951641738414764,0.21634988486766815,0.013320858590304852,0.014834518544375896,0.014635777100920677,0.01371486485004425,0.013238969258964062,0.018328098580241203,0.05404122546315193,0.0626700222492218,0.05800142139196396,0.05608336254954338,0.05474097654223442,0.0782320648431778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8128560781478882,0.9024245738983154,168.44444274902344,168.44444274902344,168.44444274902344,168.40740966796875,168.44444274902344,168.44444274902344,0.0,0.9122569561004639,0.8094609379768372,0.8880281448364258,0.9269435405731201,0.7894330620765686,7.784801483154297,0.017241595312952995,0.021043159067630768,0.018237700685858727,0.0181716401129961,0.017537133768200874,0.03498472645878792,0.47898542881011963,0.8025606870651245,0.5374599099159241,0.4906284809112549,0.48320892453193665,0.607524573802948,0.10345692187547684,0.12522798776626587,0.11549016088247299,0.10796206444501877,0.10542400926351547,0.18667100369930267,0.01734238490462303,0.016258379444479942,0.016309231519699097,0.017335090786218643,0.01682964153587818,0.02074195258319378,0.054312437772750854,0.0573996938765049,0.056549686938524246,0.05364406108856201,0.049864012748003006,0.0753912478685379,0.9166963696479797,0.8128560781478882,0.8616346716880798,0.8906103372573853,0.9094159603118896,0.8955398797988892,0.9260039329528809,0.7860788106918335
