Image,Match_Type,AI_Index,GT_Index,IoU,GT_Area_px,AI_Area_px,GT_Area_um2,AI_Area_um2,Conf,Half_Mode,Tag
ROSILHA-M-B_003_jpg.rf.863a24cebe30a134937348de5cbcaa87.jpg,TP,2,8,0.942796,11645,12129,4199.6696,4374.22,0.46,False,baseline
ROSILHA-M-B_003_jpg.rf.863a24cebe30a134937348de5cbcaa87.jpg,TP,10,0,0.934322,13076,13136,4715.7475,4737.3859,0.46,False,baseline
ROSILHA-M-B_003_jpg.rf.863a24cebe30a134937348de5cbcaa87.jpg,TP,3,5,0.931149,16242,16771,5857.5382,6048.3176,0.46,False,baseline
ROSILHA-M-B_003_jpg.rf.863a24cebe30a134937348de5cbcaa87.jpg,TP,12,16,0.929371,7047,7267,2541.4402,2620.7813,0.46,False,baseline
ROSILHA-M-B_003_jpg.rf.863a24cebe30a134937348de5cbcaa87.jpg,TP,1,9,0.915615,5363,5715,1934.12,2061.0658,0.46,False,baseline
ROSILHA-M-B_003_jpg.rf.863a24cebe30a134937348de5cbcaa87.jpg,TP,0,19,0.899746,34119,32431,12304.7253,11695.9625,0.46,False,baseline
ROSILHA-M-B_003_jpg.rf.863a24cebe30a134937348de5cbcaa87.jpg,TP,7,12,0.898861,4943,5064,1782.6506,1826.2882,0.46,False,baseline
ROSILHA-M-B_003_jpg.rf.863a24cebe30a134937348de5cbcaa87.jpg,TP,4,15,0.893303,1621,1715,584.5998,618.5,0.46,False,baseline
ROSILHA-M-B_003_jpg.rf.863a24cebe30a134937348de5cbcaa87.jpg,TP,17,11,0.892991,27873,29708,10052.1588,10713.9359,0.46,False,baseline
ROSILHA-M-B_003_jpg.rf.863a24cebe30a134937348de5cbcaa87.jpg,TP,5,1,0.887464,2822,3065,1017.7301,1105.366,0.46,False,baseline
ROSILHA-M-B_003_jpg.rf.863a24cebe30a134937348de5cbcaa87.jpg,TP,6,10,0.878534,3976,4329,1433.9104,1561.2168,0.46,False,baseline
ROSILHA-M-B_003_jpg.rf.863a24cebe30a134937348de5cbcaa87.jpg,TP,15,18,0.862997,5112,5889,1843.5991,2123.8174,0.46,False,baseline
ROSILHA-M-B_003_jpg.rf.863a24cebe30a134937348de5cbcaa87.jpg,TP,14,17,0.840208,15095,13857,5443.8825,4997.4084,0.46,False,baseline
ROSILHA-M-B_003_jpg.rf.863a24cebe30a134937348de5cbcaa87.jpg,TP,8,6,0.821133,15321,13065,5525.3875,4711.7804,0.46,False,baseline
ROSILHA-M-B_003_jpg.rf.863a24cebe30a134937348de5cbcaa87.jpg,TP,13,7,0.782689,887,1049,319.889,378.3129,0.46,False,baseline
ROSILHA-M-B_003_jpg.rf.863a24cebe30a134937348de5cbcaa87.jpg,TP,16,13,0.667544,2117,2949,763.4779,1063.5316,0.46,False,baseline
ROSILHA-M-B_003_jpg.rf.863a24cebe30a134937348de5cbcaa87.jpg,FP,9,-1,0.0,0,3155,0,1137.8237,0.46,False,baseline
ROSILHA-M-B_003_jpg.rf.863a24cebe30a134937348de5cbcaa87.jpg,FP,11,-1,0.0,0,2222,0,801.3453,0.46,False,baseline
ROSILHA-M-B_003_jpg.rf.863a24cebe30a134937348de5cbcaa87.jpg,FP,18,-1,0.0,0,13315,0,4801.9407,0.46,False,baseline
ROSILHA-M-B_003_jpg.rf.863a24cebe30a134937348de5cbcaa87.jpg,FP,19,-1,0.0,0,3507,0,1264.7695,0.46,False,baseline
ROSILHA-M-B_003_jpg.rf.863a24cebe30a134937348de5cbcaa87.jpg,FN,-1,2,0.0,7715,0,2782.3487,0,0.46,False,baseline
ROSILHA-M-B_003_jpg.rf.863a24cebe30a134937348de5cbcaa87.jpg,FN,-1,3,0.0,5602,0,2020.3133,0,0.46,False,baseline
ROSILHA-M-B_003_jpg.rf.863a24cebe30a134937348de5cbcaa87.jpg,FN,-1,4,0.0,3825,0,1379.4535,0,0.46,False,baseline
ROSILHA-M-B_003_jpg.rf.863a24cebe30a134937348de5cbcaa87.jpg,FN,-1,14,0.0,616,0,222.1551,0,0.46,False,baseline
ROSILHA-M-B_009_jpg.rf.d2aa8881a0b4f54b4bdb89392b953e71.jpg,TP,2,24,0.94491,2432,2440,877.08,879.9651,0.46,False,baseline
ROSILHA-M-B_009_jpg.rf.d2aa8881a0b4f54b4bdb89392b953e71.jpg,TP,19,35,0.937287,9352,9399,3372.7188,3389.6689,0.46,False,baseline
ROSILHA-M-B_009_jpg.rf.d2aa8881a0b4f54b4bdb89392b953e71.jpg,TP,3,38,0.93493,2954,3023,1065.3348,1090.2191,0.46,False,baseline
ROSILHA-M-B_009_jpg.rf.d2aa8881a0b4f54b4bdb89392b953e71.jpg,TP,1,17,0.934472,9951,10094,3588.743,3640.3147,0.46,False,baseline
ROSILHA-M-B_009_jpg.rf.d2aa8881a0b4f54b4bdb89392b953e71.jpg,TP,14,1,0.933737,4694,4878,1692.8509,1759.209,0.46,False,baseline
ROSILHA-M-B_009_jpg.rf.d2aa8881a0b4f54b4bdb89392b953e71.jpg,TP,0,21,0.926465,5017,5174,1809.3381,1865.9588,0.46,False,baseline
ROSILHA-M-B_009_jpg.rf.d2aa8881a0b4f54b4bdb89392b953e71.jpg,TP,41,12,0.925065,2974,2986,1072.5477,1076.8753,0.46,False,baseline
ROSILHA-M-B_009_jpg.rf.d2aa8881a0b4f54b4bdb89392b953e71.jpg,TP,9,37,0.921668,2839,2828,1023.861,1019.894,0.46,False,baseline
ROSILHA-M-B_009_jpg.rf.d2aa8881a0b4f54b4bdb89392b953e71.jpg,TP,11,0,0.921451,4401,4601,1587.1829,1659.3113,0.46,False,baseline
ROSILHA-M-B_009_jpg.rf.d2aa8881a0b4f54b4bdb89392b953e71.jpg,TP,7,23,0.918394,6477,6758,2335.8746,2437.2149,0.46,False,baseline
