Image,Match_Type,AI_Index,GT_Index,IoU,GT_Area_px,AI_Area_px,GT_Area_um2,AI_Area_um2,Conf,Half_Mode,Tag
ROSILHA-M-B_003_jpg.rf.863a24cebe30a134937348de5cbcaa87.jpg,TP,2,8,0.937724,11645,12189,4199.6696,4395.8585,0.46,True,fp16
ROSILHA-M-B_003_jpg.rf.863a24cebe30a134937348de5cbcaa87.jpg,TP,10,0,0.933579,13076,13124,4715.7475,4733.0582,0.46,True,fp16
ROSILHA-M-B_003_jpg.rf.863a24cebe30a134937348de5cbcaa87.jpg,TP,3,5,0.931103,16242,16776,5857.5382,6050.1208,0.46,True,fp16
ROSILHA-M-B_003_jpg.rf.863a24cebe30a134937348de5cbcaa87.jpg,TP,12,16,0.929149,7047,7275,2541.4402,2623.6665,0.46,True,fp16
ROSILHA-M-B_003_jpg.rf.863a24cebe30a134937348de5cbcaa87.jpg,TP,1,9,0.917692,5363,5704,1934.12,2057.0988,0.46,True,fp16
ROSILHA-M-B_003_jpg.rf.863a24cebe30a134937348de5cbcaa87.jpg,TP,0,19,0.899272,34119,32422,12304.7253,11692.7167,0.46,True,fp16
ROSILHA-M-B_003_jpg.rf.863a24cebe30a134937348de5cbcaa87.jpg,TP,7,12,0.898691,4943,5065,1782.6506,1826.6489,0.46,True,fp16
ROSILHA-M-B_003_jpg.rf.863a24cebe30a134937348de5cbcaa87.jpg,TP,5,15,0.895336,1621,1711,584.5998,617.0575,0.46,True,fp16
ROSILHA-M-B_003_jpg.rf.863a24cebe30a134937348de5cbcaa87.jpg,TP,17,11,0.893268,27873,29724,10052.1588,10719.7061,0.46,True,fp16
ROSILHA-M-B_003_jpg.rf.863a24cebe30a134937348de5cbcaa87.jpg,TP,4,1,0.88491,2822,3074,1017.7301,1108.6118,0.46,True,fp16
ROSILHA-M-B_003_jpg.rf.863a24cebe30a134937348de5cbcaa87.jpg,TP,6,10,0.877966,3976,4334,1433.9104,1563.02,0.46,True,fp16
ROSILHA-M-B_003_jpg.rf.863a24cebe30a134937348de5cbcaa87.jpg,TP,15,18,0.865489,5112,5872,1843.5991,2117.6865,0.46,True,fp16
ROSILHA-M-B_003_jpg.rf.863a24cebe30a134937348de5cbcaa87.jpg,TP,13,17,0.83446,15095,13950,5443.8825,5030.9481,0.46,True,fp16
ROSILHA-M-B_003_jpg.rf.863a24cebe30a134937348de5cbcaa87.jpg,TP,8,6,0.821133,15321,13065,5525.3875,4711.7804,0.46,True,fp16
ROSILHA-M-B_003_jpg.rf.863a24cebe30a134937348de5cbcaa87.jpg,TP,14,7,0.79748,887,1110,319.889,400.312,0.46,True,fp16
ROSILHA-M-B_003_jpg.rf.863a24cebe30a134937348de5cbcaa87.jpg,TP,16,13,0.670066,2117,2960,763.4779,1067.4986,0.46,True,fp16
ROSILHA-M-B_003_jpg.rf.863a24cebe30a134937348de5cbcaa87.jpg,FP,9,-1,0.0,0,3129,0,1128.4471,0.46,True,fp16
ROSILHA-M-B_003_jpg.rf.863a24cebe30a134937348de5cbcaa87.jpg,FP,11,-1,0.0,0,2224,0,802.0666,0.46,True,fp16
ROSILHA-M-B_003_jpg.rf.863a24cebe30a134937348de5cbcaa87.jpg,FP,18,-1,0.0,0,13387,0,4827.907,0.46,True,fp16
ROSILHA-M-B_003_jpg.rf.863a24cebe30a134937348de5cbcaa87.jpg,FP,19,-1,0.0,0,3498,0,1261.5238,0.46,True,fp16
ROSILHA-M-B_003_jpg.rf.863a24cebe30a134937348de5cbcaa87.jpg,FN,-1,2,0.0,7715,0,2782.3487,0,0.46,True,fp16
ROSILHA-M-B_003_jpg.rf.863a24cebe30a134937348de5cbcaa87.jpg,FN,-1,3,0.0,5602,0,2020.3133,0,0.46,True,fp16
ROSILHA-M-B_003_jpg.rf.863a24cebe30a134937348de5cbcaa87.jpg,FN,-1,4,0.0,3825,0,1379.4535,0,0.46,True,fp16
ROSILHA-M-B_003_jpg.rf.863a24cebe30a134937348de5cbcaa87.jpg,FN,-1,14,0.0,616,0,222.1551,0,0.46,True,fp16
ROSILHA-M-B_009_jpg.rf.d2aa8881a0b4f54b4bdb89392b953e71.jpg,TP,2,24,0.946421,2432,2436,877.08,878.5225,0.46,True,fp16
ROSILHA-M-B_009_jpg.rf.d2aa8881a0b4f54b4bdb89392b953e71.jpg,TP,3,38,0.94242,2954,3017,1065.3348,1088.0552,0.46,True,fp16
ROSILHA-M-B_009_jpg.rf.d2aa8881a0b4f54b4bdb89392b953e71.jpg,TP,20,35,0.937578,9352,9334,3372.7188,3366.2272,0.46,True,fp16
ROSILHA-M-B_009_jpg.rf.d2aa8881a0b4f54b4bdb89392b953e71.jpg,TP,1,17,0.934671,9951,10098,3588.743,3641.7573,0.46,True,fp16
ROSILHA-M-B_009_jpg.rf.d2aa8881a0b4f54b4bdb89392b953e71.jpg,TP,13,1,0.93336,4694,4880,1692.8509,1759.9302,0.46,True,fp16
ROSILHA-M-B_009_jpg.rf.d2aa8881a0b4f54b4bdb89392b953e71.jpg,TP,0,21,0.929113,5017,5161,1809.3381,1861.2705,0.46,True,fp16
ROSILHA-M-B_009_jpg.rf.d2aa8881a0b4f54b4bdb89392b953e71.jpg,TP,9,37,0.921356,2839,2829,1023.861,1020.2546,0.46,True,fp16
ROSILHA-M-B_009_jpg.rf.d2aa8881a0b4f54b4bdb89392b953e71.jpg,TP,7,23,0.920663,6477,6741,2335.8746,2431.084,0.46,True,fp16
ROSILHA-M-B_009_jpg.rf.d2aa8881a0b4f54b4bdb89392b953e71.jpg,TP,11,0,0.918902,4401,4614,1587.1829,1663.9996,0.46,True,fp16
ROSILHA-M-B_009_jpg.rf.d2aa8881a0b4f54b4bdb89392b953e71.jpg,TP,16,14,0.918242,1829,1925,659.6132,694.2348,0.46,True,fp16
ROSILHA-M-B_009_jpg.rf.d2aa8881a0b4f54b4bdb89392b953e71.jpg,TP,10,32,0.916306,3993,3975,1440.0413,1433.5497,0.46,True,fp16
ROSILHA-M-B_009_jpg.rf.d2aa8881a0b4f54b4bdb89392b953e71.jpg,TP,17,6,0.914048,3990,4294,1438.9593,1548.5944,0.46,True,fp16
ROSILHA-M-B_009_jpg.rf.d2aa8881a0b4f54b4bdb89392b953e71.jpg,TP,6,28,0.908642,4227,4276,1524.4314,1542.1028,0.46,True,fp16
ROSILHA-M-B_009_jpg.rf.d2aa8881a0b4f54b4bdb89392b953e71.jpg,TP,23,43,0.904061,3013,2941,1086.6126,1060.6465,0.46,True,fp16
