Image,GT_Count,AI_Count,Matched_Count,FP_Count,FN_Count,GT_Area_px,AI_Area_px,GT_Area_um2,AI_Area_um2,Conf,Half_Mode,Tag
ROSILHA-M-B_003_jpg.rf.863a24cebe30a134937348de5cbcaa87.jpg,20,20,16,4,4,185017,190338,66724.797,68643.7702,0.46,False,baseline
ROSILHA-M-B_009_jpg.rf.d2aa8881a0b4f54b4bdb89392b953e71.jpg,44,42,39,3,5,175663,177266,63351.357,63929.4652,0.46,False,baseline
ROSILHA-M-D_006_jpg.rf.de71085683e9c7eb460be0f184fb31ac.jpg,39,39,33,6,6,133370,149442,48098.7486,53894.9778,0.46,False,baseline
ROSILHA-M-D_009_jpg.rf.b52035c8fe5fd87e1eed76dc4bbe6a14.jpg,26,25,25,0,1,199369,194299,71900.723,70072.2708,0.46,False,baseline
ROSILHA-M-G_001_jpg.rf.3dab74a9f6c203f6aca8afc07a353bd2.jpg,18,20,18,2,0,66098,72141,23837.6778,26017.034,0.46,False,baseline
ROSILHA-M-G_005_jpg.rf.afae2fb85329c0fe56679d51ca1c64fd.jpg,13,13,10,3,3,159417,202923,57492.3762,73182.4427,0.46,False,baseline
ROSILHA-M-G_017_jpg.rf.85fc7b8a7b63a2cbb64907a1c82d5d51.jpg,17,17,15,2,2,60626,52122,21864.2478,18797.3531,0.46,False,baseline
TORDILHA-B_009_jpg.rf.5902113a7929ec9592dc2b09471de461.jpg,48,48,44,4,4,103220,109442,37225.4093,39469.3203,0.46,False,baseline
TORDILHA-B_010_jpg.rf.698124083a3806b10e86f6304c2b5ce1.jpg,31,31,28,3,3,144210,155608,52008.1019,56118.693,0.46,False,baseline
TORDILHA-B_012_jpg.rf.0b5caafb1952d960be9aa54f5506bf96.jpg,41,40,37,3,4,131075,128222,47271.0766,46242.1665,0.46,False,baseline
TORDILHA-D_001_jpg.rf.36e39c15aad81283f9bcc0f8afcd649f.jpg,24,21,20,1,4,216445,186412,78059.0362,67227.8918,0.46,False,baseline
TORDILHA-D_006_jpg.rf.d879d44ef1add0b327aa39f6650afc47.jpg,35,29,25,4,10,221011,146274,79705.725,52752.4658,0.46,False,baseline
TORDILHA-G_009_jpg.rf.b279af9f6892d54790621c0f5458daf3.jpg,37,34,32,2,5,148555,140233,53575.0889,50573.8309,0.46,False,baseline
TOSTADA-B_003_jpg.rf.ef070508fe8cf028db79cd03961c37d8.jpg,26,25,22,3,4,107559,99255,38790.2325,35795.466,0.46,False,baseline
TOSTADA-B_006_jpg.rf.fd9a20fd791843647a700cdeb77e0cc3.jpg,24,23,20,3,4,120160,93996,43334.6753,33898.8526,0.46,False,baseline
TOSTADA-G_009_jpg.rf.506f019d1e54427e5f81510789439725.jpg,42,38,37,1,5,180289,186473,65019.6843,67249.891,0.46,False,baseline
TOSTADA-G_011_jpg.rf.c0b219a9a6742c565eddfcdb51541b7d.jpg,30,31,28,3,2,167675,177800,60470.5532,64122.0478,0.46,False,baseline
TP-B_001_jpg.rf.476ac40460a2659ffbad7973abf99d86.jpg,31,29,28,1,3,138802,139378,50057.753,50265.4824,0.46,False,baseline
TP-D_010_jpg.rf.8e807d0647c50bd1b8d28134da2e26a4.jpg,47,47,42,5,5,118911,126050,42884.2341,45458.8533,0.46,False,baseline
TP-G_008_jpg.rf.7ce2f84776589571f8d07c60f1c4e63c.jpg,33,29,28,1,5,137098,137781,49443.2199,49689.538,0.46,False,baseline
TP-G_010_jpg.rf.5c8b394cdec2d68bae00b4eb6679ec08.jpg,37,34,32,2,5,144333,135984,52052.4607,49041.4654,0.46,False,baseline
ZAINA-679-B_010_jpg.rf.4a3c6644c7fdcdc349eacebe9a97fbd7.jpg,38,42,35,7,3,191536,195125,69075.8186,70370.1607,0.46,False,baseline
ZAINA-679-B_011_jpg.rf.27d46a055eff6f5810ec4c5c9429b994.jpg,24,24,23,1,1,225756,231695,81416.9686,83558.8181,0.46,False,baseline
ZAZA-B_008_jpg.rf.92ad451b5359143319a46e599a0239d1.jpg,28,26,17,9,11,197356,260811,71174.7517,94059.2542,0.46,False,baseline
ZAZA-D_004_jpg.rf.02ed2d595bd7bc4d5f40bda7d3f8e5d2.jpg,35,34,33,1,2,160274,156449,57801.4459,56421.9924,0.46,False,baseline
ZAZA-G_010_jpg.rf.cd14098445a0a54c10014aaa7d8f975c.jpg,29,26,26,0,3,115646,114247,41706.7398,41202.2025,0.46,False,baseline
ZAZA-G_012_jpg.rf.b65fca463e4411032a599acd7494f06d.jpg,35,33,30,3,5,155830,170891,56198.7554,61630.3761,0.46,False,baseline
