Image,GT_Count,AI_Count,Matched_Count,FP_Count,FN_Count,GT_Area_px,AI_Area_px,GT_Area_um2,AI_Area_um2,Conf,Half_Mode,Tag
ROSILHA-M-B_003_jpg.rf.863a24cebe30a134937348de5cbcaa87.jpg,20,20,16,4,4,185017,190593,89225.0193,91914.0625,0.46,True,fp16
ROSILHA-M-B_009_jpg.rf.d2aa8881a0b4f54b4bdb89392b953e71.jpg,44,35,34,1,10,175663,168922,84714.0239,81463.1559,0.46,True,fp16
ROSILHA-M-D_006_jpg.rf.de71085683e9c7eb460be0f184fb31ac.jpg,39,30,28,2,11,133370,144637,64318.0941,69751.6397,0.46,True,fp16
ROSILHA-M-D_009_jpg.rf.b52035c8fe5fd87e1eed76dc4bbe6a14.jpg,26,24,24,0,2,199369,194206,96146.3156,93656.4429,0.46,True,fp16
ROSILHA-M-G_001_jpg.rf.3dab74a9f6c203f6aca8afc07a353bd2.jpg,18,18,17,1,1,66098,71162,31875.9645,34318.0941,0.46,True,fp16
ROSILHA-M-G_005_jpg.rf.afae2fb85329c0fe56679d51ca1c64fd.jpg,13,11,9,2,4,159417,202663,76879.3403,97734.8573,0.46,True,fp16
ROSILHA-M-G_017_jpg.rf.85fc7b8a7b63a2cbb64907a1c82d5d51.jpg,17,17,15,2,2,60626,52166,29237.0756,25157.2145,0.46,True,fp16
TORDILHA-B_009_jpg.rf.5902113a7929ec9592dc2b09471de461.jpg,48,0,0,0,48,103220,0,49778.1636,0.0,0.46,True,fp16
TORDILHA-B_010_jpg.rf.698124083a3806b10e86f6304c2b5ce1.jpg,31,30,27,3,4,144210,155278,69545.7176,74883.2948,0.46,True,fp16
TORDILHA-B_012_jpg.rf.0b5caafb1952d960be9aa54f5506bf96.jpg,41,33,33,0,8,131075,121968,63211.3233,58819.4444,0.46,True,fp16
TORDILHA-D_001_jpg.rf.36e39c15aad81283f9bcc0f8afcd649f.jpg,24,18,17,1,7,216445,181973,104381.2693,87757.0409,0.46,True,fp16
TORDILHA-D_006_jpg.rf.d879d44ef1add0b327aa39f6650afc47.jpg,35,27,23,4,12,221011,144161,106583.2369,69522.0872,0.46,True,fp16
TORDILHA-G_009_jpg.rf.b279af9f6892d54790621c0f5458daf3.jpg,37,30,29,1,8,148555,135694,71641.1073,65438.8503,0.46,True,fp16
TOSTADA-B_003_jpg.rf.ef070508fe8cf028db79cd03961c37d8.jpg,26,21,19,2,7,107559,93371,51870.6597,45028.4529,0.46,True,fp16
TOSTADA-B_006_jpg.rf.fd9a20fd791843647a700cdeb77e0cc3.jpg,24,19,17,2,7,120160,88820,57947.5309,42833.7191,0.46,True,fp16
TOSTADA-G_009_jpg.rf.506f019d1e54427e5f81510789439725.jpg,42,37,36,1,6,180289,185444,86944.9267,89430.9414,0.46,True,fp16
TOSTADA-G_011_jpg.rf.c0b219a9a6742c565eddfcdb51541b7d.jpg,30,26,23,3,7,167675,174797,80861.7863,84296.3927,0.46,True,fp16
TP-B_001_jpg.rf.476ac40460a2659ffbad7973abf99d86.jpg,31,24,23,1,8,138802,136023,66937.6929,65597.5116,0.46,True,fp16
TP-D_010_jpg.rf.8e807d0647c50bd1b8d28134da2e26a4.jpg,47,41,37,4,10,118911,122087,57345.1968,58876.8326,0.46,True,fp16
TP-G_008_jpg.rf.7ce2f84776589571f8d07c60f1c4e63c.jpg,33,26,26,0,7,137098,135959,66115.9336,65566.6474,0.46,True,fp16
TP-G_010_jpg.rf.5c8b394cdec2d68bae00b4eb6679ec08.jpg,37,29,27,2,10,144333,131860,69605.0347,63589.892,0.46,True,fp16
ZAINA-679-B_010_jpg.rf.4a3c6644c7fdcdc349eacebe9a97fbd7.jpg,38,41,34,7,4,191536,194244,92368.8272,93674.7685,0.46,True,fp16
ZAINA-679-B_011_jpg.rf.27d46a055eff6f5810ec4c5c9429b994.jpg,24,23,22,1,2,225756,231412,108871.5278,111599.1512,0.46,True,fp16
ZAZA-B_008_jpg.rf.92ad451b5359143319a46e599a0239d1.jpg,28,22,15,7,13,197356,249056,95175.5401,120108.0247,0.46,True,fp16
ZAZA-D_004_jpg.rf.02ed2d595bd7bc4d5f40bda7d3f8e5d2.jpg,35,30,29,1,6,160274,152381,77292.6312,73486.2076,0.46,True,fp16
ZAZA-G_010_jpg.rf.cd14098445a0a54c10014aaa7d8f975c.jpg,29,26,26,0,3,115646,114234,55770.6404,55089.6991,0.46,True,fp16
ZAZA-G_012_jpg.rf.b65fca463e4411032a599acd7494f06d.jpg,35,31,28,3,7,155830,169404,75149.4985,81695.6019,0.46,True,fp16
