Image,Match_Type,AI_Index,GT_Index,IoU,GT_Area_px,AI_Area_px,GT_Area_um2,AI_Area_um2
ROSILHA-M-B_003_jpg.rf.863a24cebe30a134937348de5cbcaa87.jpg,TP,2,8,0.9427964370352211,11645,12129,4199.6696,4374.22
ROSILHA-M-B_003_jpg.rf.863a24cebe30a134937348de5cbcaa87.jpg,TP,10,0,0.9343221902442624,13076,13136,4715.7475,4737.3859
ROSILHA-M-B_003_jpg.rf.863a24cebe30a134937348de5cbcaa87.jpg,TP,3,5,0.9311494589061129,16242,16771,5857.5382,6048.3176
ROSILHA-M-B_003_jpg.rf.863a24cebe30a134937348de5cbcaa87.jpg,TP,12,16,0.9293705351125489,7047,7267,2541.4402,2620.7813
ROSILHA-M-B_003_jpg.rf.863a24cebe30a134937348de5cbcaa87.jpg,TP,1,9,0.9156147328376275,5363,5715,1934.12,2061.0658
ROSILHA-M-B_003_jpg.rf.863a24cebe30a134937348de5cbcaa87.jpg,TP,0,19,0.8997459393108961,34119,32431,12304.7252,11695.9625
ROSILHA-M-B_003_jpg.rf.863a24cebe30a134937348de5cbcaa87.jpg,TP,7,12,0.8988614800759013,4943,5064,1782.6506,1826.2882
ROSILHA-M-B_003_jpg.rf.863a24cebe30a134937348de5cbcaa87.jpg,TP,4,15,0.8933030646992054,1621,1715,584.5998,618.5001
ROSILHA-M-B_003_jpg.rf.863a24cebe30a134937348de5cbcaa87.jpg,TP,17,11,0.8929909921756854,27873,29708,10052.1588,10713.9359
ROSILHA-M-B_003_jpg.rf.863a24cebe30a134937348de5cbcaa87.jpg,TP,5,1,0.8874639307470343,2822,3065,1017.7301,1105.366
ROSILHA-M-B_003_jpg.rf.863a24cebe30a134937348de5cbcaa87.jpg,TP,6,10,0.8785342682650984,3976,4329,1433.9104,1561.2168
ROSILHA-M-B_003_jpg.rf.863a24cebe30a134937348de5cbcaa87.jpg,TP,15,18,0.8629974597798475,5112,5889,1843.599,2123.8174
ROSILHA-M-B_003_jpg.rf.863a24cebe30a134937348de5cbcaa87.jpg,TP,14,17,0.8402084789931991,15095,13857,5443.8825,4997.4084
ROSILHA-M-B_003_jpg.rf.863a24cebe30a134937348de5cbcaa87.jpg,TP,8,6,0.821132995444922,15321,13065,5525.3875,4711.7804
ROSILHA-M-B_003_jpg.rf.863a24cebe30a134937348de5cbcaa87.jpg,TP,13,7,0.7826887661141805,887,1049,319.889,378.3129
ROSILHA-M-B_003_jpg.rf.863a24cebe30a134937348de5cbcaa87.jpg,TP,16,13,0.6675444371296906,2117,2949,763.4779,1063.5316
ROSILHA-M-B_003_jpg.rf.863a24cebe30a134937348de5cbcaa87.jpg,FP,9,-1,0.0,0,3155,0,1137.8237
ROSILHA-M-B_003_jpg.rf.863a24cebe30a134937348de5cbcaa87.jpg,FP,11,-1,0.0,0,2222,0,801.3453
ROSILHA-M-B_003_jpg.rf.863a24cebe30a134937348de5cbcaa87.jpg,FP,18,-1,0.0,0,13315,0,4801.9408
