Tile,Match_Type,AI_Index,GT_Index,IoU,GT_Area_px,AI_Area_px,GT_Area_um2,AI_Area_um2
ROSILHA-M-B_011_jpg.rf.4a966541cdff84d474cd4516dd35b742_r0c0.jpg,TP,4,17,0.8665248604094655,3699,3321,42.630321983399064,38.27393871502252
ROSILHA-M-B_011_jpg.rf.4a966541cdff84d474cd4516dd35b742_r0c0.jpg,TP,0,12,0.8604286461055933,6767,7469,77.98848036270924,86.07890643255139
ROSILHA-M-B_011_jpg.rf.4a966541cdff84d474cd4516dd35b742_r0c0.jpg,TP,7,14,0.8467903376484719,6752,7086,77.81560801078953,81.66489904686829
ROSILHA-M-B_011_jpg.rf.4a966541cdff84d474cd4516dd35b742_r0c0.jpg,TP,6,9,0.844442289980125,18699,19350,215.5026739031033,223.00533397641846
ROSILHA-M-B_011_jpg.rf.4a966541cdff84d474cd4516dd35b742_r0c0.jpg,TP,20,13,0.8325896070246149,6342,6389,73.09043039165095,73.63209709433269
ROSILHA-M-B_011_jpg.rf.4a966541cdff84d474cd4516dd35b742_r0c0.jpg,TP,14,18,0.8255083179297596,4809,5067,55.42287602545718,58.39628047847609
ROSILHA-M-B_011_jpg.rf.4a966541cdff84d474cd4516dd35b742_r0c0.jpg,TP,8,0,0.8220443349753694,1499,1460,17.27571036850911,16.82624225351788
ROSILHA-M-B_011_jpg.rf.4a966541cdff84d474cd4516dd35b742_r0c0.jpg,TP,5,5,0.8001143292682927,4218,5229,48.61170535982083,60.263301879208896
ROSILHA-M-B_011_jpg.rf.4a966541cdff84d474cd4516dd35b742_r0c0.jpg,TP,22,7,0.7975059382422803,1443,1584,16.63032025467555,18.255320362720767
ROSILHA-M-B_011_jpg.rf.4a966541cdff84d474cd4516dd35b742_r0c0.jpg,TP,16,8,0.7735077677841373,4890,5955,56.35638672582358,68.63032371212259
ROSILHA-M-B_011_jpg.rf.4a966541cdff84d474cd4516dd35b742_r0c0.jpg,TP,1,16,0.7686662997615117,5445,4196,62.75266374685264,48.358159243671935
ROSILHA-M-B_011_jpg.rf.4a966541cdff84d474cd4516dd35b742_r0c0.jpg,TP,12,6,0.7496585365853659,4627,4340,53.3253581554981,50.01773382210109
ROSILHA-M-B_011_jpg.rf.4a966541cdff84d474cd4516dd35b742_r0c0.jpg,TP,13,1,0.7430683918669131,1074,812,12.377660397450823,9.358156650586656
ROSILHA-M-B_011_jpg.rf.4a966541cdff84d474cd4516dd35b742_r0c0.jpg,TP,10,4,0.7408363448631905,1909,1463,22.000887987647694,16.86081672390182
ROSILHA-M-B_011_jpg.rf.4a966541cdff84d474cd4516dd35b742_r0c0.jpg,TP,17,10,0.7218667670304855,2565,2010,29.561172178269423,23.164895157240366
