Tile,GT_Count,AI_Count,Matched,FP,FN,GT_Area_px,AI_Area_px,GT_Area_um2,AI_Area_um2,Area_Diff_pct
ROSILHA-M-B_011_jpg.rf.4a966541cdff84d474cd4516dd35b742_r0c0.jpg,20,23,17,6,3,118510,110027,1365.8068284002766,1268.0417509779531,-7.15804573453717
ROSILHA-M-B_011_jpg.rf.4a966541cdff84d474cd4516dd35b742_r0c1.jpg,22,23,21,2,1,224311,229488,2585.1446754307185,2644.808686489939,2.307956364155124
ROSILHA-M-B_011_jpg.rf.4a966541cdff84d474cd4516dd35b742_r0c2.jpg,8,12,6,6,2,103735,94879,1195.527561759368,1093.4637251859745,-8.537137899455342
ROSILHA-M-B_011_jpg.rf.4a966541cdff84d474cd4516dd35b742_r1c0.jpg,1,1,1,0,0,1500,1066,17.287235191970424,12.285461809760314,-28.933333333333334
ROSILHA-M-B_011_jpg.rf.4a966541cdff84d474cd4516dd35b742_r1c1.jpg,14,14,13,1,1,182767,168701,2106.3574095539057,1944.2492427470684,-7.696137705384451
ROSILHA-M-B_011_jpg.rf.4a966541cdff84d474cd4516dd35b742_r1c2.jpg,10,11,7,4,3,190563,191421,2196.2049332583065,2206.093231788114,0.4502448009319753
ROSILHA-M-B_011_jpg.rf.4a966541cdff84d474cd4516dd35b742_r2c0.jpg,11,10,9,1,2,134951,129104,1555.2864509277338,1487.900808149433,-4.332683714829827
ROSILHA-M-B_011_jpg.rf.4a966541cdff84d474cd4516dd35b742_r2c1.jpg,22,27,19,8,3,377828,449657,4354.400998741201,5182.217543143896,19.011031474639253
ROSILHA-M-B_011_jpg.rf.4a966541cdff84d474cd4516dd35b742_r2c2.jpg,13,13,11,2,2,157560,168639,1815.8511845645733,1943.5347036924668,7.031607006854531
ROSILHA-M-D_006_jpg.rf.4bf38cf5314617b13c7c11445fe40b04_r0c0.jpg,16,21,14,7,2,93941,121531,1082.6534407792624,1400.623320076905,29.369497876326626
ROSILHA-M-D_006_jpg.rf.4bf38cf5314617b13c7c11445fe40b04_r0c1.jpg,9,13,7,6,2,91553,101115,1055.1321623536455,1165.3325242907263,10.444223564492699
ROSILHA-M-D_006_jpg.rf.4bf38cf5314617b13c7c11445fe40b04_r0c2.jpg,46,43,38,5,8,156057,161573,1798.529374902219,1862.1003011148248,3.534605945263589
ROSILHA-M-D_006_jpg.rf.4bf38cf5314617b13c7c11445fe40b04_r1c0.jpg,27,28,24,4,3,177920,176303,2050.4965902369186,2031.8609506999744,-0.9088354316546763
ROSILHA-M-D_006_jpg.rf.4bf38cf5314617b13c7c11445fe40b04_r1c1.jpg,36,35,33,2,3,138811,146343,1599.7722694884044,1686.5772397990186,5.426082947316855
