Tile,Match_Type,AI_Index,GT_Index,IoU,GT_Area_px,AI_Area_px,GT_Area_um2,AI_Area_um2
ROSILHA-M-B_011_jpg.rf.4a966541cdff84d474cd4516dd35b742_r0c0.jpg,TP,2,17,0.8663667636940989,3699,3354,42.630321983399064,38.65425788924587
ROSILHA-M-B_011_jpg.rf.4a966541cdff84d474cd4516dd35b742_r0c0.jpg,TP,4,12,0.8524696146883889,6767,7560,77.98848036270924,87.12766536753094
ROSILHA-M-B_011_jpg.rf.4a966541cdff84d474cd4516dd35b742_r0c0.jpg,TP,6,9,0.8511244230580379,18699,19001,215.5026739031033,218.98317058842002
ROSILHA-M-B_011_jpg.rf.4a966541cdff84d474cd4516dd35b742_r0c0.jpg,TP,8,0,0.8431970713849909,1499,1522,17.27571036850911,17.540781308119325
ROSILHA-M-B_011_jpg.rf.4a966541cdff84d474cd4516dd35b742_r0c0.jpg,TP,9,14,0.842752171008684,6752,7041,77.81560801078953,81.14628199110916
ROSILHA-M-B_011_jpg.rf.4a966541cdff84d474cd4516dd35b742_r0c0.jpg,TP,7,18,0.8137726767863754,4809,4989,55.42287602545718,57.497344248493626
ROSILHA-M-B_011_jpg.rf.4a966541cdff84d474cd4516dd35b742_r0c0.jpg,TP,5,5,0.8131293570875291,4218,5145,48.61170535982083,59.295216708458554
ROSILHA-M-B_011_jpg.rf.4a966541cdff84d474cd4516dd35b742_r0c0.jpg,TP,3,16,0.7719201903715907,5445,4235,62.75266374685264,48.80762735866316
ROSILHA-M-B_011_jpg.rf.4a966541cdff84d474cd4516dd35b742_r0c0.jpg,TP,12,1,0.7585253456221198,1074,834,12.377660397450823,9.611702766735556
ROSILHA-M-B_011_jpg.rf.4a966541cdff84d474cd4516dd35b742_r0c0.jpg,TP,10,4,0.7481977342945417,1909,1486,22.000887987647694,17.12588766351203
ROSILHA-M-B_011_jpg.rf.4a966541cdff84d474cd4516dd35b742_r0c0.jpg,TP,15,10,0.7480075901328274,2565,2041,29.561172178269423,23.52216468454109
ROSILHA-M-B_011_jpg.rf.4a966541cdff84d474cd4516dd35b742_r0c0.jpg,TP,1,2,0.6803551609322974,3558,2498,41.00532187535384,28.78900900636141
ROSILHA-M-B_011_jpg.rf.4a966541cdff84d474cd4516dd35b742_r0c0.jpg,TP,11,3,0.5277577505407354,1037,1082,11.951241929382219,12.469858985141332
ROSILHA-M-B_011_jpg.rf.4a966541cdff84d474cd4516dd35b742_r0c0.jpg,FP,0,-1,0.0,0,3955,0.0,45.58067678949535
ROSILHA-M-B_011_jpg.rf.4a966541cdff84d474cd4516dd35b742_r0c0.jpg,FP,13,-1,0.0,0,11154,0.0,128.54788088749208
ROSILHA-M-B_011_jpg.rf.4a966541cdff84d474cd4516dd35b742_r0c0.jpg,FP,14,-1,0.0,0,4159,0.0,47.93174077560333
ROSILHA-M-B_011_jpg.rf.4a966541cdff84d474cd4516dd35b742_r0c0.jpg,FP,16,-1,0.0,0,4446,0.0,51.23936510900034
ROSILHA-M-B_011_jpg.rf.4a966541cdff84d474cd4516dd35b742_r0c0.jpg,FP,17,-1,0.0,0,6408,0.0,73.85106874009765
ROSILHA-M-B_011_jpg.rf.4a966541cdff84d474cd4516dd35b742_r0c0.jpg,FP,18,-1,0.0,0,9693,0.0,111.71011381051288
ROSILHA-M-B_011_jpg.rf.4a966541cdff84d474cd4516dd35b742_r0c0.jpg,FP,19,-1,0.0,0,592,0.0,6.8226954890976605
ROSILHA-M-B_011_jpg.rf.4a966541cdff84d474cd4516dd35b742_r0c0.jpg,FN,-1,6,0.0,4627,0,53.3253581554981,0.0
ROSILHA-M-B_011_jpg.rf.4a966541cdff84d474cd4516dd35b742_r0c0.jpg,FN,-1,7,0.0,1443,0,16.63032025467555,0.0
ROSILHA-M-B_011_jpg.rf.4a966541cdff84d474cd4516dd35b742_r0c0.jpg,FN,-1,8,0.0,4890,0,56.35638672582358,0.0
ROSILHA-M-B_011_jpg.rf.4a966541cdff84d474cd4516dd35b742_r0c0.jpg,FN,-1,11,0.0,17506,0,201.75355951375616,0.0
ROSILHA-M-B_011_jpg.rf.4a966541cdff84d474cd4516dd35b742_r0c0.jpg,FN,-1,13,0.0,6342,0,73.09043039165095,0.0
ROSILHA-M-B_011_jpg.rf.4a966541cdff84d474cd4516dd35b742_r0c0.jpg,FN,-1,15,0.0,13312,0,153.41844991700685,0.0
ROSILHA-M-B_011_jpg.rf.4a966541cdff84d474cd4516dd35b742_r0c0.jpg,FN,-1,19,0.0,8359,0,96.33599931312051,0.0
ROSILHA-M-B_011_jpg.rf.4a966541cdff84d474cd4516dd35b742_r0c1.jpg,TP,10,0,0.9292541313086199,21216,21980,244.51065455522968,253.31561967967326
ROSILHA-M-B_011_jpg.rf.4a966541cdff84d474cd4516dd35b742_r0c1.jpg,TP,9,1,0.9210770659238626,7041,7442,81.14628199110916,85.76773619909594
ROSILHA-M-B_011_jpg.rf.4a966541cdff84d474cd4516dd35b742_r0c1.jpg,TP,2,18,0.9080287877371717,10050,10364,115.82447578620184,119.44327035305432
ROSILHA-M-B_011_jpg.rf.4a966541cdff84d474cd4516dd35b742_r0c1.jpg,TP,15,21,0.9074158672148622,6049,6477,69.71365711748606,74.6462815589283
ROSILHA-M-B_011_jpg.rf.4a966541cdff84d474cd4516dd35b742_r0c1.jpg,TP,4,13,0.9037686240140228,5263,5598,60.65514587689356,64.51596173643362
ROSILHA-M-B_011_jpg.rf.4a966541cdff84d474cd4516dd35b742_r0c1.jpg,TP,13,2,0.8844565975014744,17900,17247,206.29433995751373,198.76863023727594
ROSILHA-M-B_011_jpg.rf.4a966541cdff84d474cd4516dd35b742_r0c1.jpg,TP,8,6,0.8828902522154056,6981,6830,80.45479258343035,78.714544240772
ROSILHA-M-B_011_jpg.rf.4a966541cdff84d474cd4516dd35b742_r0c1.jpg,TP,20,11,0.8714996074326092,3442,3709,39.66844235384146,42.7455702180122
ROSILHA-M-B_011_jpg.rf.4a966541cdff84d474cd4516dd35b742_r0c1.jpg,TP,3,14,0.8694732388407024,4482,4355,51.65425875360763,50.1906061740208
