Tile,Match_Type,AI_Index,GT_Index,IoU,GT_Area_px,AI_Area_px,GT_Area_um2,AI_Area_um2
ROSILHA-M-B_011_jpg.rf.4a966541cdff84d474cd4516dd35b742_r0c0.jpg,TP,0,12,0.86507001701348,6767,7484,77.98848036270924,86.2517787844711
ROSILHA-M-B_011_jpg.rf.4a966541cdff84d474cd4516dd35b742_r0c0.jpg,TP,10,0,0.8550161812297734,1499,1367,17.27571036850911,15.754433671615713
ROSILHA-M-B_011_jpg.rf.4a966541cdff84d474cd4516dd35b742_r0c0.jpg,TP,4,17,0.8526428190069407,3699,3241,42.630321983399064,37.35195283811743
ROSILHA-M-B_011_jpg.rf.4a966541cdff84d474cd4516dd35b742_r0c0.jpg,TP,2,9,0.847538250294233,18699,18976,215.5026739031033,218.69505000188718
ROSILHA-M-B_011_jpg.rf.4a966541cdff84d474cd4516dd35b742_r0c0.jpg,TP,15,19,0.8458411507191995,8359,9350,96.33599931312051,107.75709936328231
ROSILHA-M-B_011_jpg.rf.4a966541cdff84d474cd4516dd35b742_r0c0.jpg,TP,5,14,0.8364485981308412,6752,7003,77.81560801078953,80.70833869957926
ROSILHA-M-B_011_jpg.rf.4a966541cdff84d474cd4516dd35b742_r0c0.jpg,TP,11,18,0.826382336289866,4809,4869,55.42287602545718,56.114365433135994
ROSILHA-M-B_011_jpg.rf.4a966541cdff84d474cd4516dd35b742_r0c0.jpg,TP,20,13,0.8142997612024161,6342,6574,73.09043039165095,75.76418943467571
ROSILHA-M-B_011_jpg.rf.4a966541cdff84d474cd4516dd35b742_r0c0.jpg,TP,6,5,0.8009578544061303,4218,5183,48.61170535982083,59.73315999998847
ROSILHA-M-B_011_jpg.rf.4a966541cdff84d474cd4516dd35b742_r0c0.jpg,TP,19,7,0.7777074097530082,1443,1364,16.63032025467555,15.719859201231772
ROSILHA-M-B_011_jpg.rf.4a966541cdff84d474cd4516dd35b742_r0c0.jpg,TP,1,16,0.772105742935278,5445,4275,62.75266374685264,49.26862029711571
ROSILHA-M-B_011_jpg.rf.4a966541cdff84d474cd4516dd35b742_r0c0.jpg,TP,9,4,0.7351574599896747,1909,1452,22.000887987647694,16.73404366582737
ROSILHA-M-B_011_jpg.rf.4a966541cdff84d474cd4516dd35b742_r0c0.jpg,TP,14,10,0.7115384615384616,2565,1974,29.561172178269423,22.750001512633077
ROSILHA-M-B_011_jpg.rf.4a966541cdff84d474cd4516dd35b742_r0c0.jpg,TP,12,1,0.6821561338289963,1074,736,12.377660397450823,8.482270067526821
ROSILHA-M-B_011_jpg.rf.4a966541cdff84d474cd4516dd35b742_r0c0.jpg,TP,3,2,0.6626973137635004,3558,2446,41.00532187535384,28.189718186373103
ROSILHA-M-B_011_jpg.rf.4a966541cdff84d474cd4516dd35b742_r0c0.jpg,TP,21,11,0.6381197922504951,17506,26335,201.75355951375616,303.50622585369405
ROSILHA-M-B_011_jpg.rf.4a966541cdff84d474cd4516dd35b742_r0c0.jpg,TP,13,3,0.5183164458300857,1037,911,11.951241929382219,10.499114173256704
ROSILHA-M-B_011_jpg.rf.4a966541cdff84d474cd4516dd35b742_r0c0.jpg,FP,7,-1,0.0,0,3815,0.0,43.96720150491144
ROSILHA-M-B_011_jpg.rf.4a966541cdff84d474cd4516dd35b742_r0c0.jpg,FP,8,-1,0.0,0,11300,0.0,130.23050511284387
ROSILHA-M-B_011_jpg.rf.4a966541cdff84d474cd4516dd35b742_r0c0.jpg,FP,16,-1,0.0,0,553,0.0,6.373227374106429
ROSILHA-M-B_011_jpg.rf.4a966541cdff84d474cd4516dd35b742_r0c0.jpg,FP,17,-1,0.0,0,9099,0.0,104.8643686744926
ROSILHA-M-B_011_jpg.rf.4a966541cdff84d474cd4516dd35b742_r0c0.jpg,FP,18,-1,0.0,0,9211,0.0,106.15514890215971
ROSILHA-M-B_011_jpg.rf.4a966541cdff84d474cd4516dd35b742_r0c0.jpg,FN,-1,6,0.0,4627,0,53.3253581554981,0.0
ROSILHA-M-B_011_jpg.rf.4a966541cdff84d474cd4516dd35b742_r0c0.jpg,FN,-1,8,0.0,4890,0,56.35638672582358,0.0
ROSILHA-M-B_011_jpg.rf.4a966541cdff84d474cd4516dd35b742_r0c0.jpg,FN,-1,15,0.0,13312,0,153.41844991700685,0.0
ROSILHA-M-B_011_jpg.rf.4a966541cdff84d474cd4516dd35b742_r0c1.jpg,TP,6,0,0.9325822442541686,21216,21668,244.51065455522968,249.71987475974342
ROSILHA-M-B_011_jpg.rf.4a966541cdff84d474cd4516dd35b742_r0c1.jpg,TP,2,13,0.9110644257703081,5263,5653,60.65514587689356,65.14982702680587
ROSILHA-M-B_011_jpg.rf.4a966541cdff84d474cd4516dd35b742_r0c1.jpg,TP,10,1,0.9099194294016643,7041,7419,81.14628199110916,85.50266525948571
