Tile,GT_Count,AI_Count,Matched,FP,FN,GT_Area_px,AI_Area_px,GT_Area_um2,AI_Area_um2,Area_Diff_pct
ROSILHA-M-B_011_jpg.rf.4a966541cdff84d474cd4516dd35b742_r0c0.jpg,20,22,17,5,3,118510,137518,1365.8068284002766,1584.8706727529259,16.039152814108515
ROSILHA-M-B_011_jpg.rf.4a966541cdff84d474cd4516dd35b742_r0c1.jpg,22,24,21,3,1,224311,259187,2585.1446754307185,2987.084418467492,15.548056047184488
ROSILHA-M-B_011_jpg.rf.4a966541cdff84d474cd4516dd35b742_r0c2.jpg,8,10,6,4,2,103735,173147,1195.527561759368,1995.4886078560687,66.91280667084398
ROSILHA-M-B_011_jpg.rf.4a966541cdff84d474cd4516dd35b742_r1c0.jpg,1,1,1,0,0,1500,1023,17.287235191970424,11.78989440092383,-31.8
ROSILHA-M-B_011_jpg.rf.4a966541cdff84d474cd4516dd35b742_r1c1.jpg,14,16,13,3,1,182767,208845,2106.3574095539057,2406.901755778042,14.268440145102781
ROSILHA-M-B_011_jpg.rf.4a966541cdff84d474cd4516dd35b742_r1c2.jpg,10,11,7,4,3,190563,171760,2196.2049332583065,1979.5036777152266,-9.86707807916542
ROSILHA-M-B_011_jpg.rf.4a966541cdff84d474cd4516dd35b742_r2c0.jpg,11,10,9,1,2,134951,130873,1555.2864509277338,1508.2882208524968,-3.021837555853606
ROSILHA-M-B_011_jpg.rf.4a966541cdff84d474cd4516dd35b742_r2c1.jpg,22,27,20,7,2,377828,399698,4354.400998741201,4606.44888784013,5.788348137247636
ROSILHA-M-B_011_jpg.rf.4a966541cdff84d474cd4516dd35b742_r2c2.jpg,13,12,11,1,2,157560,160457,1815.8511845645733,1849.2385981319987,1.8386646356943388
ROSILHA-M-D_006_jpg.rf.4bf38cf5314617b13c7c11445fe40b04_r0c0.jpg,16,28,15,13,1,93941,124668,1082.6534407792624,1436.7766912750458,32.708827881329775
ROSILHA-M-D_006_jpg.rf.4bf38cf5314617b13c7c11445fe40b04_r0c1.jpg,9,15,8,7,1,91553,121791,1055.1321623536455,1403.6197741768465,33.02786364182496
ROSILHA-M-D_006_jpg.rf.4bf38cf5314617b13c7c11445fe40b04_r0c2.jpg,46,49,43,6,3,156057,171179,1798.529374902219,1972.8077552842035,9.690049148708486
ROSILHA-M-D_006_jpg.rf.4bf38cf5314617b13c7c11445fe40b04_r1c0.jpg,27,33,27,6,0,177920,189366,2050.4965902369186,2182.409719575114,6.4332284172661875
ROSILHA-M-D_006_jpg.rf.4bf38cf5314617b13c7c11445fe40b04_r1c1.jpg,36,40,35,5,1,138811,154260,1599.7722694884044,1777.8192671422385,11.129521435621097
ROSILHA-M-D_006_jpg.rf.4bf38cf5314617b13c7c11445fe40b04_r1c2.jpg,27,27,26,1,1,70085,79350,807.7172522861648,914.4947416552354,13.219661839195263
ROSILHA-M-D_006_jpg.rf.4bf38cf5314617b13c7c11445fe40b04_r2c0.jpg,3,3,3,0,0,29625,30560,341.42289504141587,352.1986049777441,3.1561181434599157
ROSILHA-M-D_006_jpg.rf.4bf38cf5314617b13c7c11445fe40b04_r2c1.jpg,26,35,23,12,3,92831,94962,1069.8608867372043,1094.4202855332635,2.2955693679912956
ROSILHA-M-D_006_jpg.rf.4bf38cf5314617b13c7c11445fe40b04_r2c2.jpg,23,24,23,1,0,82702,97028,953.1259498975586,1118.2305708043375,17.32243476578559
ROSILHA-M-D_011_jpg.rf.3a2fb2d36de8bcc90049d66dd562a41c_r0c0.jpg,9,9,9,0,0,32869,36537,378.8094223499172,421.08247480601557,11.159451154583346
ROSILHA-M-D_011_jpg.rf.3a2fb2d36de8bcc90049d66dd562a41c_r0c1.jpg,43,41,38,3,5,134822,142992,1553.7997487012244,1647.9575563801566,6.059841865570901
ROSILHA-M-D_011_jpg.rf.3a2fb2d36de8bcc90049d66dd562a41c_r0c2.jpg,12,11,10,1,2,49305,51311,568.2314207600679,591.350216623463,4.068552885102931
ROSILHA-M-D_011_jpg.rf.3a2fb2d36de8bcc90049d66dd562a41c_r1c0.jpg,38,39,33,6,5,138557,140881,1596.8449643292306,1623.6286540533235,1.6772880475183498
